model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,chain_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.357365,1.2105,0.4,0.115567,0.097232,0.416143,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,5,5,False,False,False,False,False,0.356744,1.2105,0.4,0.111881,0.1065,0.396902,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,6,5,False,False,False,False,False,0.396163,1.2105,0.4,0.109502,0.104987,0.446873,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,7,5,False,False,False,False,False,0.350161,1.2105,0.4,0.115327,0.090684,0.392312,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,8,5,False,False,False,False,False,0.356744,1.2105,0.4,0.111386,0.103576,0.411189,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,9,5,False,False,False,False,False,0.352153,1.2105,0.4,0.109265,0.088865,0.394086,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,10,5,False,False,False,False,False,0.345876,1.2105,0.4,0.115377,0.0893,0.393451,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_degree_2_3,n5_near_identical,1,5,True,True,True,True,True,0.0,1.0,0.0,0.03419,0.003128,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,2,5,True,True,True,True,True,0.002047,1.0,0.0,0.034095,0.003694,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,3,5,True,True,True,True,True,0.002047,1.0,0.0,0.033714,0.00319,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,4,5,True,True,True,True,True,0.002047,1.0,0.0,0.033714,0.00319,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,5,5,True,True,True,True,True,0.0,1.0,0.0,0.03381,0.003246,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,6,5,True,True,True,True,True,0.002047,1.0,0.0,0.034,0.003202,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,7,5,True,True,True,True,True,0.0,1.0,0.0,0.033714,0.003589,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,8,5,True,True,True,True,True,0.0,1.0,0.0,0.03381,0.003246,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,9,5,True,True,True,True,True,0.0,1.0,0.0,0.033429,0.003249,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,10,5,True,True,True,True,True,0.0,1.0,0.0,0.033905,0.003155,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,1,5,False,False,False,True,True,0.002051,1.0,0.0,0.103768,0.066241,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,2,5,False,False,False,True,True,0.002051,1.0,0.0,0.103671,0.066076,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,3,5,False,False,False,True,True,0.002051,1.0,0.0,0.1025,0.043186,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,4,5,False,False,False,True,True,0.002051,1.0,0.0,0.103768,0.066241,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,5,5,False,False,False,True,True,0.002051,1.0,0.0,0.104831,0.06612,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,6,5,False,False,False,True,True,0.002051,1.0,0.0,0.102451,0.044468,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,7,5,False,True,False,True,True,0.002051,1.0,0.0,0.096318,0.002862,0.667779,offset_phase_locked
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,8,5,False,False,False,True,True,0.002051,1.0,0.0,0.104928,0.066546,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,9,5,False,False,False,True,True,0.0,1.0,0.0,0.104928,0.065878,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,10,5,False,True,False,True,True,0.002051,1.0,0.0,0.095075,0.003296,0.667779,offset_phase_locked
pco_simple,simple,local_ring_5,n5_near_identical,1,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,2,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,3,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,4,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,5,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,6,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,7,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
