t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.751079,leader_flash,camera,0.751079,,,
0.751079,follower_flash,follower_oscillator,0.751079,0.751079,0.0,
1.216523,leader_flash,camera,1.216523,,,
1.276963,follower_flash,follower_oscillator,1.216523,1.276963,-0.06044,
1.736531,leader_flash,camera,1.736531,,,
1.795924,follower_flash,follower_oscillator,1.736531,1.795924,-0.059392,
2.259237,leader_flash,camera,2.259237,,,
2.259237,follower_flash,follower_oscillator,2.259237,2.259237,0.0,
2.723182,leader_flash,camera,2.723182,,,
2.783469,follower_flash,follower_oscillator,2.723182,2.783469,-0.060287,
2.783469,sync_achieved,metrics,,,,
3.249295,leader_flash,camera,3.249295,,,
3.310258,follower_flash,follower_oscillator,3.249295,3.310258,-0.060963,
3.715023,leader_flash,camera,3.715023,,,
3.77526,follower_flash,follower_oscillator,3.715023,3.77526,-0.060236,
4.232865,leader_flash,camera,4.232865,,,
4.293147,follower_flash,follower_oscillator,4.232865,4.293147,-0.060282,
4.75557,leader_flash,camera,4.75557,,,
4.816984,follower_flash,follower_oscillator,4.75557,4.816984,-0.061414,
5.221185,leader_flash,camera,5.221185,,,
5.280783,follower_flash,follower_oscillator,5.221185,5.280783,-0.059598,
5.743819,leader_flash,camera,5.743819,,,
5.80422,follower_flash,follower_oscillator,5.743819,5.80422,-0.060401,
6.261341,leader_flash,camera,6.261341,,,
6.321775,follower_flash,follower_oscillator,6.261341,6.321775,-0.060434,
6.721933,leader_flash,camera,6.721933,,,
6.782662,follower_flash,follower_oscillator,6.721933,6.782662,-0.060729,
7.245385,leader_flash,camera,7.245385,,,
7.305242,follower_flash,follower_oscillator,7.245385,7.305242,-0.059857,
7.761707,leader_flash,camera,7.761707,,,
7.822017,follower_flash,follower_oscillator,7.761707,7.822017,-0.06031,
8.222904,leader_flash,camera,8.222904,,,
8.282626,follower_flash,follower_oscillator,8.222904,8.282626,-0.059722,
8.745836,leader_flash,camera,8.745836,,,
8.806148,follower_flash,follower_oscillator,8.745836,8.806148,-0.060312,
9.262827,leader_flash,camera,9.262827,,,
9.32324,follower_flash,follower_oscillator,9.262827,9.32324,-0.060413,
9.724101,leader_flash,camera,9.724101,,,
9.784402,follower_flash,follower_oscillator,9.724101,9.784402,-0.060301,
10.250465,leader_flash,camera,10.250465,,,
10.310188,follower_flash,follower_oscillator,10.250465,10.310188,-0.059723,
10.713469,leader_flash,camera,10.713469,,,
10.773757,follower_flash,follower_oscillator,10.713469,10.773757,-0.060288,
11.233188,leader_flash,camera,11.233188,,,
11.292718,follower_flash,follower_oscillator,11.233188,11.292718,-0.05953,
11.753389,leader_flash,camera,11.753389,,,
11.814238,follower_flash,follower_oscillator,11.753389,11.814238,-0.060848,
12.219123,leader_flash,camera,12.219123,,,
12.278798,follower_flash,follower_oscillator,12.219123,12.278798,-0.059676,
12.742164,leader_flash,camera,12.742164,,,
12.802249,follower_flash,follower_oscillator,12.742164,12.802249,-0.060084,
13.261287,leader_flash,camera,13.261287,,,
13.321551,follower_flash,follower_oscillator,13.261287,13.321551,-0.060264,
13.722891,leader_flash,camera,13.722891,,,
13.782668,follower_flash,follower_oscillator,13.722891,13.782668,-0.059777,
14.242295,leader_flash,camera,14.242295,,,
