event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.828393
virtual_flash,kuramoto,camera,0.995
pi_flash,kuramoto,pi_oscillator,1.307916
virtual_flash,kuramoto,camera,1.45467
pi_flash,kuramoto,pi_oscillator,1.81209
virtual_flash,kuramoto,camera,2.112556
pi_flash,kuramoto,pi_oscillator,2.262543
pi_flash,kuramoto,pi_oscillator,2.681067
virtual_flash,kuramoto,camera,2.862202
pi_flash,kuramoto,pi_oscillator,3.112822
virtual_flash,kuramoto,camera,3.31227
pi_flash,kuramoto,pi_oscillator,3.513383
pi_flash,kuramoto,pi_oscillator,3.918377
virtual_flash,kuramoto,camera,4.070979
pi_flash,kuramoto,pi_oscillator,4.382096
pi_flash,kuramoto,pi_oscillator,4.723849
virtual_flash,kuramoto,camera,4.913596
pi_flash,kuramoto,pi_oscillator,5.227227
virtual_flash,kuramoto,camera,5.351056
pi_flash,kuramoto,pi_oscillator,5.67982
virtual_flash,kuramoto,camera,6.00167
pi_flash,kuramoto,pi_oscillator,6.051431
pi_flash,kuramoto,pi_oscillator,6.50213
virtual_flash,kuramoto,camera,7.001945
pi_flash,kuramoto,pi_oscillator,7.052679
virtual_flash,kuramoto,camera,7.518466
pi_flash,kuramoto,pi_oscillator,7.518466
pi_flash,kuramoto,pi_oscillator,7.972477
virtual_flash,kuramoto,camera,8.107465
virtual_flash,kuramoto,camera,8.485471
pi_flash,kuramoto,pi_oscillator,8.485471
virtual_flash,kuramoto,camera,8.929148
pi_flash,kuramoto,pi_oscillator,8.929148
pi_flash,kuramoto,pi_oscillator,9.380655
virtual_flash,kuramoto,camera,9.48362
pi_flash,kuramoto,pi_oscillator,9.84493
virtual_flash,kuramoto,camera,9.974352
virtual_flash,kuramoto,camera,10.34064
pi_flash,kuramoto,pi_oscillator,10.34064
pi_flash,kuramoto,pi_oscillator,10.772236
virtual_flash,kuramoto,camera,10.88591
pi_flash,kuramoto,pi_oscillator,11.289
virtual_flash,kuramoto,camera,11.402944
pi_flash,kuramoto,pi_oscillator,11.751217
virtual_flash,kuramoto,camera,12.265643
pi_flash,kuramoto,pi_oscillator,12.265643
virtual_flash,kuramoto,camera,12.704479
pi_flash,kuramoto,pi_oscillator,12.704479
pi_flash,kuramoto,pi_oscillator,13.126367
virtual_flash,kuramoto,camera,13.249619
pi_flash,kuramoto,pi_oscillator,13.604579
pi_flash,kuramoto,pi_oscillator,14.154744
virtual_flash,kuramoto,camera,14.283103
pi_flash,kuramoto,pi_oscillator,14.638388
virtual_flash,kuramoto,camera,15.117044
pi_flash,kuramoto,pi_oscillator,15.21104
pi_flash,kuramoto,pi_oscillator,15.599027
virtual_flash,kuramoto,camera,15.714968
pi_flash,kuramoto,pi_oscillator,16.112109
virtual_flash,kuramoto,camera,16.613685
pi_flash,kuramoto,pi_oscillator,16.613685
virtual_flash,kuramoto,camera,17.049892
pi_flash,kuramoto,pi_oscillator,17.049892
pi_flash,kuramoto,pi_oscillator,17.487343
virtual_flash,kuramoto,camera,17.626413
virtual_flash,kuramoto,camera,17.998956
pi_flash,kuramoto,pi_oscillator,17.998956
virtual_flash,kuramoto,camera,18.434456
pi_flash,kuramoto,pi_oscillator,18.434456
pi_flash,kuramoto,pi_oscillator,18.873499
virtual_flash,kuramoto,camera,18.987496
pi_flash,kuramoto,pi_oscillator,19.383377
virtual_flash,kuramoto,camera,19.495492
virtual_flash,kuramoto,camera,19.855274
pi_flash,kuramoto,pi_oscillator,19.855274
virtual_flash,kuramoto,camera,20.295669
pi_flash,kuramoto,pi_oscillator,20.295669
pi_flash,kuramoto,pi_oscillator,20.770178
virtual_flash,kuramoto,camera,20.960698
pi_flash,kuramoto,pi_oscillator,21.242951
virtual_flash,kuramoto,camera,21.352667
pi_flash,kuramoto,pi_oscillator,21.705975
virtual_flash,kuramoto,camera,21.821821
pi_flash,kuramoto,pi_oscillator,22.198345
virtual_flash,kuramoto,camera,22.672276
pi_flash,kuramoto,pi_oscillator,22.672276
pi_flash,kuramoto,pi_oscillator,23.038368
virtual_flash,kuramoto,camera,23.222818
pi_flash,kuramoto,pi_oscillator,23.535857
virtual_flash,kuramoto,camera,23.669595
pi_flash,kuramoto,pi_oscillator,24.037058
virtual_flash,kuramoto,camera,24.23781
pi_flash,kuramoto,pi_oscillator,24.549098
virtual_flash,kuramoto,camera,25.058306
pi_flash,kuramoto,pi_oscillator,25.058306
virtual_flash,kuramoto,camera,25.498155
pi_flash,kuramoto,pi_oscillator,25.498155
pi_flash,kuramoto,pi_oscillator,25.96646
virtual_flash,kuramoto,camera,26.091873
pi_flash,kuramoto,pi_oscillator,26.476281
virtual_flash,kuramoto,camera,26.582613
pi_flash,kuramoto,pi_oscillator,26.949784
virtual_flash,kuramoto,camera,27.423867
pi_flash,kuramoto,pi_oscillator,27.463042
pi_flash,kuramoto,pi_oscillator,27.848361
virtual_flash,kuramoto,camera,27.96607
pi_flash,kuramoto,pi_oscillator,28.350843
virtual_flash,kuramoto,camera,28.481723
virtual_flash,kuramoto,camera,28.842777
pi_flash,kuramoto,pi_oscillator,28.842777
pi_flash,kuramoto,pi_oscillator,29.279904
virtual_flash,kuramoto,camera,29.400065
pi_flash,kuramoto,pi_oscillator,29.794003
virtual_flash,kuramoto,camera,29.990586
