closest_to_lock_blocker,closest_to_lock_time_s,final_R,final_frequency_disagreement_hz,final_phase_error_cycles,lock_frequency_disagreement_threshold_hz,lock_phase_error_threshold_cycles,lock_r_threshold,lock_window_pass_ratio,lock_window_s,longest_continuous_all_lock_s,longest_rolling_window_pass_s,median_R,median_frequency_disagreement_hz,median_phase_error_cycles,min_frequency_disagreement_hz,min_phase_error_cycles,percent_samples_all_lock_ok,percent_samples_frequency_ok,percent_samples_phase_ok,percent_samples_r_ok,sample_count,trial_dir
none,7.222634,0.999662,0.01647,0.005852,0.03,0.08,0.95,0.7,3.0,7.33131,7.139999,0.985672,0.027492,0.038724,0.000103,0.000482,48.790323,52.016129,79.435484,77.016129,248,conditions\baseline\random_1p6_2p4\trial_01
none,5.798256,0.972778,0.025219,0.052699,0.03,0.08,0.95,0.7,3.0,2.89104,1.80104,0.9064,0.06574,0.100727,0.000516,0.000836,13.358779,24.80916,38.931298,35.877863,262,conditions\baseline\random_1p6_2p4\trial_02
none,8.662218,0.914047,0.003194,0.094374,0.03,0.08,0.95,0.7,3.0,6.070072,8.305647,0.979965,0.028487,0.0461,0.000115,0.000175,49.224806,53.488372,80.620155,79.069767,258,conditions\baseline\random_1p6_2p4\trial_03
