t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.458767,follower_flash,follower_oscillator,,0.458767,,
0.581633,leader_flash,camera,0.581633,,,
1.020126,follower_flash,follower_oscillator,0.581633,1.020126,-0.438493,
1.081012,leader_flash,camera,1.081012,,,
1.518503,follower_flash,follower_oscillator,1.081012,1.518503,-0.437491,
1.578874,leader_flash,camera,1.578874,,,
2.017883,follower_flash,follower_oscillator,1.578874,2.017883,-0.439009,
2.078515,leader_flash,camera,2.078515,,,
2.51872,follower_flash,follower_oscillator,2.078515,2.51872,-0.440205,
2.590822,leader_flash,camera,2.590822,,,
2.986049,follower_flash,follower_oscillator,2.590822,2.986049,-0.395228,
3.106846,leader_flash,camera,3.106846,,,
3.546456,follower_flash,follower_oscillator,3.106846,3.546456,-0.439609,
3.607285,leader_flash,camera,3.607285,,,
4.04595,follower_flash,follower_oscillator,3.607285,4.04595,-0.438664,
4.106006,leader_flash,camera,4.106006,,,
4.544583,follower_flash,follower_oscillator,4.106006,4.544583,-0.438577,
4.605182,leader_flash,camera,4.605182,,,
5.043748,follower_flash,follower_oscillator,4.605182,5.043748,-0.438566,
5.104994,leader_flash,camera,5.104994,,,
5.544301,follower_flash,follower_oscillator,5.104994,5.544301,-0.439306,
5.604175,leader_flash,camera,5.604175,,,
6.044157,follower_flash,follower_oscillator,5.604175,6.044157,-0.439982,
6.044157,sync_achieved,metrics,,,,
6.104633,leader_flash,camera,6.104633,,,
6.544525,follower_flash,follower_oscillator,6.104633,6.544525,-0.439892,
6.603921,leader_flash,camera,6.603921,,,
7.042258,follower_flash,follower_oscillator,6.603921,7.042258,-0.438337,
7.103363,leader_flash,camera,7.103363,,,
7.541931,follower_flash,follower_oscillator,7.103363,7.541931,-0.438569,
7.603095,leader_flash,camera,7.603095,,,
8.043337,follower_flash,follower_oscillator,7.603095,8.043337,-0.440241,
8.103759,leader_flash,camera,8.103759,,,
8.543897,follower_flash,follower_oscillator,8.103759,8.543897,-0.440138,
8.604132,leader_flash,camera,8.604132,,,
9.043723,follower_flash,follower_oscillator,8.604132,9.043723,-0.439591,
9.103953,leader_flash,camera,9.103953,,,
9.543927,follower_flash,follower_oscillator,9.103953,9.543927,-0.439974,
9.604531,leader_flash,camera,9.604531,,,
10.044503,follower_flash,follower_oscillator,9.604531,10.044503,-0.439972,
