t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
8.384443,1.615577,1.920273,1.759653,0,76.243
8.466764,2.643581,1.922085,1.768288,0,82.321
8.545622,3.630844,1.923862,1.774057,0,78.858
8.618534,4.547242,1.925604,1.775813,0,72.912
8.684502,5.38048,1.927311,1.768398,0,65.968
8.744186,6.138361,1.928983,1.762021,0,59.684
8.809464,0.68149,1.93062,1.757622,1,65.278
8.886135,1.646688,1.932223,1.757793,0,76.672
8.967662,2.671613,1.933792,1.759374,0,81.527
9.047215,3.673366,1.935327,1.759272,0,79.553
9.119158,4.583333,1.93683,1.755116,0,71.943
9.183455,5.400817,1.9383,1.72687,0,64.297
9.243679,6.169153,1.939737,1.716597,0,60.224
9.30862,0.712199,1.941143,1.707815,1,64.942
9.384724,1.674998,1.942518,1.702993,0,76.103
9.466002,2.701494,1.943863,1.699638,0,81.278
9.54651,3.719158,1.945178,1.69543,0,80.508
9.617942,4.626445,1.946464,1.687333,0,71.433
9.684284,5.471923,1.947722,1.680601,0,66.342
9.744228,6.239477,1.948952,1.667572,0,59.944
9.80984,0.793537,1.950156,1.656181,1,65.611
9.885978,1.760105,1.951332,1.648005,0,76.138
9.96809,2.80031,1.952483,1.641398,0,82.112
10.047636,3.809479,1.953609,1.633532,0,79.546
10.119333,4.722691,1.95471,1.622792,0,71.697
10.18332,5.541398,1.955786,1.580126,0,63.987
10.243806,0.034029,1.956838,1.565445,1,60.486
10.308511,0.861809,1.957866,1.551905,0,64.704
10.38458,1.829531,1.958872,1.541507,0,76.069
10.466503,2.869527,1.959855,1.532552,0,81.923
10.546013,3.880072,1.960816,1.522687,0,79.51
10.618496,4.804266,1.961756,1.510703,0,72.483
10.684661,5.650753,1.962661,1.49493,0,66.165
10.744836,0.140302,1.963537,1.478212,1,60.176
10.810169,0.976715,1.964384,1.462628,0,65.333
10.886027,1.943091,1.965205,1.449352,0,75.857
10.968071,2.985985,1.966002,1.437325,0,82.044
11.047473,3.996387,1.966777,1.42459,0,79.402
11.119379,4.914255,1.967531,1.410159,0,71.905
11.183414,5.734847,1.968265,1.382102,0,64.036
11.243443,0.222669,1.96898,1.365212,1,60.029
11.30867,1.057918,1.969677,1.349405,0,65.226
11.384887,2.029152,1.970358,1.335754,0,76.217
11.466592,3.068355,1.971021,1.323125,0,81.705
11.546353,4.083517,1.971669,1.310103,0,79.761
11.618784,5.007909,1.972302,1.295734,0,72.431
11.685155,5.857224,1.97292,1.286939,0,66.371
11.745212,0.345062,1.973524,1.270439,1,60.057
11.810772,1.184248,1.974114,1.254918,0,65.559
11.887119,2.157203,1.974691,1.241214,0,76.347
11.969457,3.20449,1.975255,1.228482,0,82.338
12.048633,4.212548,1.975806,1.21524,0,79.176
12.120812,5.133728,1.976344,1.200925,0,72.178
12.184536,5.94978,1.976868,1.15876,0,63.724
12.243863,0.427857,1.977378,1.142485,1,59.327
12.309615,1.268779,1.977875,1.127294,0,65.752
12.386068,2.24254,1.978359,1.113721,0,76.453
12.467334,3.276027,1.978831,1.100902,0,81.265
12.547263,4.292833,1.979292,1.087994,0,79.93
12.619375,5.212343,1.979742,1.074172,0,72.112
12.683733,6.035377,1.980194,1.080186,0,64.357
12.743437,0.517281,1.980647,1.066197,1,59.704
12.808161,1.344777,1.981097,1.052972,0,64.724
12.88493,2.322148,1.981545,1.041449,0,76.769
12.966834,3.363421,1.981988,1.030634,0,81.903
13.046383,4.375377,1.982426,1.019516,0,79.549
13.118328,5.292601,1.982858,1.007434,0,71.945
13.184767,6.141194,1.983269,0.997393,0,66.439
13.244617,0.624433,1.983662,0.982518,1,59.85
13.309986,1.459538,1.984038,0.968274,0,65.369
13.386357,2.4317,1.984399,0.955171,0,76.371
13.468361,3.474008,1.984747,0.94267,0,82.003
13.547609,4.481886,1.985083,0.929992,0,79.248
13.619284,5.395213,1.985409,0.916727,0,71.675
13.683742,6.218365,1.985738,0.895036,0,64.458
13.743522,0.699822,1.986071,0.8824,1,59.78
13.808325,1.526995,1.986404,0.870451,0,64.803
13.884229,2.492594,1.986736,0.859788,0,75.904
13.966237,3.534293,1.987066,0.849847,0,82.008
14.046484,4.553948,1.987394,0.83981,0,80.248
14.11833,5.46862,1.987717,0.829032,0,71.846
14.184756,0.032339,1.988022,0.819361,1,66.426
14.244934,0.801088,1.988311,0.806297,0,60.178
14.310278,1.634246,1.988585,0.793711,0,65.344
14.38695,2.608819,1.988848,0.782005,0,76.672
14.468837,3.648455,1.989099,0.77075,0,81.887
