event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.576678
virtual_flash,kuramoto,camera,0.817311
virtual_flash,kuramoto,camera,1.285305
pi_flash,kuramoto,pi_oscillator,1.359915
virtual_flash,kuramoto,camera,1.927247
pi_flash,kuramoto,pi_oscillator,1.927247
virtual_flash,kuramoto,camera,2.465089
pi_flash,kuramoto,pi_oscillator,2.540699
virtual_flash,kuramoto,camera,2.997383
pi_flash,kuramoto,pi_oscillator,3.072214
virtual_flash,kuramoto,camera,3.542094
pi_flash,kuramoto,pi_oscillator,3.597526
virtual_flash,kuramoto,camera,4.07318
pi_flash,kuramoto,pi_oscillator,4.130461
virtual_flash,kuramoto,camera,4.599081
pi_flash,kuramoto,pi_oscillator,4.662635
virtual_flash,kuramoto,camera,5.140912
pi_flash,kuramoto,pi_oscillator,5.203631
virtual_flash,kuramoto,camera,5.577705
pi_flash,kuramoto,pi_oscillator,5.723466
virtual_flash,kuramoto,camera,6.21693
pi_flash,kuramoto,pi_oscillator,6.383885
virtual_flash,kuramoto,camera,6.654245
pi_flash,kuramoto,pi_oscillator,7.234281
virtual_flash,kuramoto,camera,7.395178
virtual_flash,kuramoto,camera,7.831341
pi_flash,kuramoto,pi_oscillator,7.937387
virtual_flash,kuramoto,camera,8.247096
pi_flash,kuramoto,pi_oscillator,8.791131
virtual_flash,kuramoto,camera,8.91884
virtual_flash,kuramoto,camera,9.430164
pi_flash,kuramoto,pi_oscillator,9.492366
virtual_flash,kuramoto,camera,9.851748
pi_flash,kuramoto,pi_oscillator,10.046235
virtual_flash,kuramoto,camera,10.525592
pi_flash,kuramoto,pi_oscillator,11.035437
virtual_flash,kuramoto,camera,11.127197
virtual_flash,kuramoto,camera,11.565925
pi_flash,kuramoto,pi_oscillator,11.692778
virtual_flash,kuramoto,camera,12.103416
pi_flash,kuramoto,pi_oscillator,12.659294
virtual_flash,kuramoto,camera,12.74899
virtual_flash,kuramoto,camera,13.287719
pi_flash,kuramoto,pi_oscillator,13.327533
virtual_flash,kuramoto,camera,13.726615
pi_flash,kuramoto,pi_oscillator,13.893312
virtual_flash,kuramoto,camera,14.374154
pi_flash,kuramoto,pi_oscillator,14.625403
virtual_flash,kuramoto,camera,15.019289
pi_flash,kuramoto,pi_oscillator,15.62362
virtual_flash,kuramoto,camera,15.773934
virtual_flash,kuramoto,camera,16.291929
pi_flash,kuramoto,pi_oscillator,16.384199
virtual_flash,kuramoto,camera,16.715408
pi_flash,kuramoto,pi_oscillator,17.073299
virtual_flash,kuramoto,camera,17.4759
pi_flash,kuramoto,pi_oscillator,18.089093
virtual_flash,kuramoto,camera,18.184784
virtual_flash,kuramoto,camera,18.735759
pi_flash,kuramoto,pi_oscillator,18.926846
virtual_flash,kuramoto,camera,19.188882
pi_flash,kuramoto,pi_oscillator,19.802212
virtual_flash,kuramoto,camera,19.944393
pi_flash,kuramoto,pi_oscillator,20.584201
virtual_flash,kuramoto,camera,20.794249
virtual_flash,kuramoto,camera,21.438709
pi_flash,kuramoto,pi_oscillator,21.457992
virtual_flash,kuramoto,camera,21.882324
pi_flash,kuramoto,pi_oscillator,22.093724
virtual_flash,kuramoto,camera,22.53223
pi_flash,kuramoto,pi_oscillator,23.169703
virtual_flash,kuramoto,camera,23.258538
virtual_flash,kuramoto,camera,23.821896
pi_flash,kuramoto,pi_oscillator,23.917595
virtual_flash,kuramoto,camera,24.381637
pi_flash,kuramoto,pi_oscillator,24.47573
virtual_flash,kuramoto,camera,25.037148
pi_flash,kuramoto,pi_oscillator,25.037148
virtual_flash,kuramoto,camera,25.565364
pi_flash,kuramoto,pi_oscillator,25.658282
virtual_flash,kuramoto,camera,26.084794
pi_flash,kuramoto,pi_oscillator,26.193475
virtual_flash,kuramoto,camera,26.727898
pi_flash,kuramoto,pi_oscillator,26.760291
virtual_flash,kuramoto,camera,27.27136
pi_flash,kuramoto,pi_oscillator,27.363423
virtual_flash,kuramoto,camera,27.813433
pi_flash,kuramoto,pi_oscillator,27.876275
virtual_flash,kuramoto,camera,28.373129
pi_flash,kuramoto,pi_oscillator,28.428545
virtual_flash,kuramoto,camera,28.914724
pi_flash,kuramoto,pi_oscillator,28.993592
virtual_flash,kuramoto,camera,29.45348
pi_flash,kuramoto,pi_oscillator,29.51507
virtual_flash,kuramoto,camera,29.975243
