K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
4.5,0,0.09187265,0.618671041,0.033,0.409317625,2,0,0,2.443090494,2.498815315,0.5,3.317521842,3.157034688,2.650471808,0.50656288,0.50656288,0,0.905073,phase_jump_gt_0.5rad,0.667050034
4.5,0,0.080781571,0.543983642,0.033,0.418480153,2,0,0,2.389599585,2.443090494,0.5,3.732212072,3.652506489,3.157034688,0.495471801,0.495471801,0,0.938618,,0.575177384
4.5,0,0.070463235,0.474499899,0.033,0.427380468,2,0,0,2.33983552,2.389599585,0.5,4.146902303,4.137659955,3.652506489,0.485153465,0.485153465,0,0.972185,,0.494395813
4.5,0,0.061085191,0.411348085,0.033,0.435804596,2,0,0,2.294606364,2.33983552,0.5,4.561592533,4.613435375,4.137659955,0.475775421,0.475775421,0,1.005679,,0.423932578
4.5,0,0.052708243,0.354937663,0.033,0.443615303,2,0,0,2.254205376,2.294606364,0.5,4.976282763,5.080833849,4.613435375,0.467398473,0.467398473,0,1.039225,,0.362847388
4.5,0,0.045320885,0.305191146,0.033,0.450739359,2,0,0,2.218577058,2.254205376,0.5,5.390972994,5.540844964,5.080833849,0.460011115,0.460011115,0,1.072792,,0.310139145
4.5,0,0.038867479,0.261733868,0.033,0.457152664,2,0,0,2.187453075,2.218577058,0.5,5.805663224,5.994402674,5.540844964,0.45355771,0.45355771,0,1.106449,,0.26481826
4.5,0,0.033268912,0.224033076,0.033,0.462866131,3,1,1,2.160451872,2.187453075,0.5,6.220353454,0.159176509,5.994402674,0.447959142,0.447959142,0,1.139918,,0.22595078
4.5,0,0.028436535,0.191491819,0.033,0.467913769,3,0,0,2.137145913,2.160451872,0.5,0.351858377,0.602303274,0.159176509,0.443126765,0.443126765,0,1.173429,,0.192681869
4.5,0,0.024280918,0.163507867,0.033,0.472343378,3,0,0,2.117103884,2.137145913,0.5,0.766548607,1.041274423,0.602303274,0.438971149,0.438971149,0,1.206967,,0.164245333
4.5,0,0.02071692,0.139507878,0.033,0.476209716,3,0,0,2.099915158,2.117103884,0.5,1.181238838,1.476681573,1.041274423,0.43540715,0.43540715,0,1.240495,,0.139964415
