K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
3.5,0,-0.030745194,-0.266192157,0.033,0.540038536,0,0,0,1.851719708,2.0,0.5,2.962438274,6.218535472,5.834590436,0.383945036,0.383945036,0,0.033448,,-2.872152162
3.5,0,-0.034153072,-0.295697594,0.033,0.544874819,1,1,1,1.835283932,1.851719708,0.5,3.377128504,0.315887323,6.218535472,0.380537158,0.380537158,0,0.066929,,-2.841406968
3.5,0,-0.037900703,-0.328144614,0.033,0.550294263,1,0,0,1.817209569,1.835283932,0.5,3.791818734,0.69267685,0.315887323,0.376789527,0.376789527,0,0.100415,,-2.807253896
3.5,0,-0.042007631,-0.363702434,0.033,0.556358455,1,0,0,1.797402359,1.817209569,0.5,4.206508965,1.065359449,0.69267685,0.372682599,0.372682599,0,0.133963,,-2.769353193
3.5,0,-0.046488844,-0.402500818,0.033,0.563129644,1,0,0,1.775790018,1.797402359,0.5,4.621199195,1.433560835,1.065359449,0.368201386,0.368201386,0,0.167476,,-2.727345562
3.5,0,-0.051352158,-0.444607424,0.033,0.570667185,1,0,0,1.752334857,1.775790018,0.5,5.035889425,1.796898908,1.433560835,0.363338073,0.363338073,0,0.200766,,-2.680856717
3.5,0,-0.056594833,-0.489998554,0.033,0.579022006,1,0,0,1.727050078,1.752334857,0.5,5.450579655,2.154994305,1.796898908,0.358095397,0.358095397,0,0.233872,,-2.62950456
3.5,0,-0.062199376,-0.538522736,0.033,0.588228354,1,0,0,1.700020056,1.727050078,0.5,5.865269886,2.507485159,2.154994305,0.352490854,0.352490854,0,0.267375,,-2.572909727
3.5,0,-0.068128536,-0.589857454,0.033,0.598292075,1,0,0,1.671424447,1.700020056,0.5,6.279960116,2.854046854,2.507485159,0.346561694,0.346561694,0,0.301023,,-2.510710351
3.5,0,-0.074319725,-0.64346082,0.033,0.609174743,1,0,0,1.641565104,1.671424447,0.5,0.411465039,3.194417359,2.854046854,0.340370506,0.340370506,0,0.334436,,-2.442581815
3.5,0,-0.08067934,-0.69852242,0.033,0.620773516,1,0,0,1.610893464,1.641565104,0.5,0.826155269,3.52842825,3.194417359,0.334010891,0.334010891,0,0.367618,,-2.36826209
3.5,0,-0.087077855,-0.753920826,0.033,0.63289769,1,0,0,1.580034208,1.610893464,0.5,1.2408455,3.856040625,3.52842825,0.327612375,0.327612375,0,0.40099,,-2.28758275
3.5,0,-0.093347004,-0.80819917,0.033,0.645245016,1,0,0,1.549798875,1.580034208,0.5,1.65553573,4.177383851,3.856040625,0.321343226,0.321343226,0,0.434439,,-2.200504895
