event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.495937
virtual_flash,kuramoto,camera,1.023503
pi_flash,kuramoto,pi_oscillator,1.235504
virtual_flash,kuramoto,camera,1.486442
virtual_flash,kuramoto,camera,1.894099
pi_flash,kuramoto,pi_oscillator,1.982008
virtual_flash,kuramoto,camera,2.457601
pi_flash,kuramoto,pi_oscillator,2.918778
virtual_flash,kuramoto,camera,3.112784
virtual_flash,kuramoto,camera,3.656258
pi_flash,kuramoto,pi_oscillator,3.656258
virtual_flash,kuramoto,camera,4.069297
pi_flash,kuramoto,pi_oscillator,4.190728
virtual_flash,kuramoto,camera,4.690991
pi_flash,kuramoto,pi_oscillator,4.789946
virtual_flash,kuramoto,camera,5.231097
pi_flash,kuramoto,pi_oscillator,5.329105
pi_flash,kuramoto,pi_oscillator,5.816057
virtual_flash,kuramoto,camera,5.940063
virtual_flash,kuramoto,camera,6.462824
pi_flash,kuramoto,pi_oscillator,6.51338
pi_flash,kuramoto,pi_oscillator,7.045093
virtual_flash,kuramoto,camera,7.16434
pi_flash,kuramoto,pi_oscillator,7.739758
virtual_flash,kuramoto,camera,8.151953
pi_flash,kuramoto,pi_oscillator,8.314754
virtual_flash,kuramoto,camera,8.810951
pi_flash,kuramoto,pi_oscillator,8.810951
virtual_flash,kuramoto,camera,9.348405
pi_flash,kuramoto,pi_oscillator,9.388133
virtual_flash,kuramoto,camera,9.880245
pi_flash,kuramoto,pi_oscillator,9.93025
virtual_flash,kuramoto,camera,10.446083
pi_flash,kuramoto,pi_oscillator,10.496716
virtual_flash,kuramoto,camera,10.943577
pi_flash,kuramoto,pi_oscillator,11.043521
virtual_flash,kuramoto,camera,11.502373
pi_flash,kuramoto,pi_oscillator,11.550327
virtual_flash,kuramoto,camera,12.032532
pi_flash,kuramoto,pi_oscillator,12.082823
virtual_flash,kuramoto,camera,12.566981
pi_flash,kuramoto,pi_oscillator,12.616928
virtual_flash,kuramoto,camera,13.115633
pi_flash,kuramoto,pi_oscillator,13.165406
virtual_flash,kuramoto,camera,13.679058
pi_flash,kuramoto,pi_oscillator,13.679058
pi_flash,kuramoto,pi_oscillator,14.278009
virtual_flash,kuramoto,camera,14.641697
pi_flash,kuramoto,pi_oscillator,14.763294
virtual_flash,kuramoto,camera,15.31625
pi_flash,kuramoto,pi_oscillator,15.31625
virtual_flash,kuramoto,camera,15.862121
pi_flash,kuramoto,pi_oscillator,15.912958
virtual_flash,kuramoto,camera,16.368709
pi_flash,kuramoto,pi_oscillator,16.418313
virtual_flash,kuramoto,camera,16.918367
pi_flash,kuramoto,pi_oscillator,16.96844
virtual_flash,kuramoto,camera,17.440769
pi_flash,kuramoto,pi_oscillator,17.526076
virtual_flash,kuramoto,camera,17.98572
pi_flash,kuramoto,pi_oscillator,18.035094
virtual_flash,kuramoto,camera,18.535832
pi_flash,kuramoto,pi_oscillator,18.585704
virtual_flash,kuramoto,camera,19.098832
pi_flash,kuramoto,pi_oscillator,19.098832
virtual_flash,kuramoto,camera,19.625966
pi_flash,kuramoto,pi_oscillator,19.675867
virtual_flash,kuramoto,camera,20.173669
pi_flash,kuramoto,pi_oscillator,20.224083
virtual_flash,kuramoto,camera,20.59608
pi_flash,kuramoto,pi_oscillator,20.717661
virtual_flash,kuramoto,camera,21.26072
pi_flash,kuramoto,pi_oscillator,21.310464
virtual_flash,kuramoto,camera,21.802881
pi_flash,kuramoto,pi_oscillator,21.852592
virtual_flash,kuramoto,camera,22.343079
pi_flash,kuramoto,pi_oscillator,22.393174
virtual_flash,kuramoto,camera,22.712192
pi_flash,kuramoto,pi_oscillator,22.982879
virtual_flash,kuramoto,camera,23.251776
pi_flash,kuramoto,pi_oscillator,23.800929
virtual_flash,kuramoto,camera,23.937024
virtual_flash,kuramoto,camera,24.496529
pi_flash,kuramoto,pi_oscillator,24.496529
virtual_flash,kuramoto,camera,24.906326
pi_flash,kuramoto,pi_oscillator,25.028151
virtual_flash,kuramoto,camera,25.461977
pi_flash,kuramoto,pi_oscillator,25.55903
virtual_flash,kuramoto,camera,25.98923
pi_flash,kuramoto,pi_oscillator,26.138437
virtual_flash,kuramoto,camera,26.527573
pi_flash,kuramoto,pi_oscillator,26.669573
virtual_flash,kuramoto,camera,27.112064
pi_flash,kuramoto,pi_oscillator,27.206658
virtual_flash,kuramoto,camera,27.647192
pi_flash,kuramoto,pi_oscillator,27.739791
virtual_flash,kuramoto,camera,28.268097
pi_flash,kuramoto,pi_oscillator,28.319131
virtual_flash,kuramoto,camera,28.781823
pi_flash,kuramoto,pi_oscillator,28.83186
virtual_flash,kuramoto,camera,29.327919
pi_flash,kuramoto,pi_oscillator,29.377664
virtual_flash,kuramoto,camera,29.871436
pi_flash,kuramoto,pi_oscillator,29.920923
