agent_id,f_lock_hz,fire_count,flash_on,frequency_hz,lock_hold_state,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,,1,0,1.722741,acquisition,3.210755,0,1,virtual,1e-06,all_to_all
V1,,1,0,1.89092,acquisition,3.45855,0,1,virtual,1e-06,all_to_all
P0,,0,0,1.940849,acquisition,4.577798,,0,pi,1e-06,all_to_all
V0,,1,0,1.722741,acquisition,4.964256,0,1,virtual,0.441922,all_to_all
V1,,1,0,1.89092,acquisition,5.425522,0,1,virtual,0.441922,all_to_all
P0,,1,1,1.940849,acquisition,3.6837,,0,pi,0.441922,all_to_all
V0,,2,1,1.723018,acquisition,0.111997,1,3,virtual,0.655048,all_to_all
V1,,2,1,1.89092,acquisition,0.728713,1,2,virtual,0.655048,all_to_all
P0,,1,0,1.940849,acquisition,6.282713,,0,pi,0.655048,all_to_all
V0,,2,1,1.754349,acquisition,2.308066,2,4,virtual,0.855503,all_to_all
V1,,2,1,1.908408,acquisition,3.078249,2,4,virtual,0.855503,all_to_all
P0,,2,0,1.940849,acquisition,2.435891,,2,pi,0.855503,all_to_all
V0,,2,0,1.870876,acquisition,4.621369,2,4,virtual,1.05601,all_to_all
V1,,2,0,1.99915,acquisition,5.467368,2,4,virtual,1.05601,all_to_all
P0,,2,0,1.940849,acquisition,4.735822,,0,pi,1.05601,all_to_all
V0,,3,1,2.041655,acquisition,1.575871,3,6,virtual,1.327852,all_to_all
V1,,3,1,2.133003,acquisition,2.482064,3,6,virtual,1.327852,all_to_all
P0,,3,0,1.941201,acquisition,1.568314,,1,pi,1.327852,all_to_all
V0,,3,0,2.112618,acquisition,4.622371,3,6,virtual,1.556551,all_to_all
V1,,3,0,2.175136,acquisition,5.435842,3,6,virtual,1.556551,all_to_all
P0,,3,0,1.946789,acquisition,4.221128,,0,pi,1.556551,all_to_all
V0,,4,1,2.153846,acquisition,1.961522,4,8,virtual,1.859395,all_to_all
V1,,4,1,2.187242,acquisition,2.607288,4,8,virtual,1.859395,all_to_all
P0,,4,0,1.955595,acquisition,1.550799,,2,pi,1.859395,all_to_all
V0,,4,0,2.148255,acquisition,5.504452,4,8,virtual,2.090531,all_to_all
