agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,,,pi_flash,1.940849,,,,3.6837,,,,0.441922
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.441922,0.441922
P0,,,pi_flash,1.940849,,,,0.521421,,,,0.697844
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,0.697844,0.697844
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9811,,74.0,0,,0.855503
V1,,0,pi_detected_virtual_flash,,0.0,1,0.998,,107.0,1,,0.855503
P0,,,pi_flash,1.940849,,,,0.324296,,,,1.223271
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.223271,1.223271
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8241,,98.0,1,,1.327852
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9497,,73.0,0,,1.377049
P0,,,pi_flash,1.954412,,,,0.298336,,,,1.756495
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,1.756495,1.756495
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9767,,74.0,0,,1.859395
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8146,,96.0,1,,1.859395
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7656,,89.0,1,,2.223567
P0,,,pi_flash,1.966087,,,,0.092057,,,,2.256565
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.256565,2.256565
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,75.0,0,,2.361663
P0,,,pi_flash,1.985137,,,,0.099199,,,,2.757037
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,2.757037,2.757037
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9818,,74.0,0,,2.859231
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8056,,96.0,1,,2.859231
P0,,,pi_flash,1.992095,,,,0.08984,,,,3.2577
