t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
0.81,4.625666,2.3,3.895575,-0.730091,-0.666938,0,0,0
0.82,4.746836,2.3,4.021239,-0.725598,-0.663583,0,0,0
0.83,4.868124,2.3,4.146902,-0.721222,-0.660303,0,0,0
0.84,4.989527,2.3,4.272566,-0.716961,-0.657097,0,0,0
0.85,5.111042,2.3,4.39823,-0.712812,-0.653964,0,0,0
0.86,5.232666,2.3,4.523893,-0.708773,-0.650903,0,0,0
0.87,5.354398,2.3,4.649557,-0.704841,-0.647913,0,0,0
0.88,5.476234,2.3,4.775221,-0.701014,-0.644993,0,0,0
0.89,5.598173,2.3,4.900885,-0.697288,-0.642141,0,0,0
0.9,5.720211,2.3,5.026548,-0.693663,-0.639358,0,0,0
0.91,5.842347,2.3,5.152212,-0.690135,-0.636641,0,0,0
0.92,5.964578,2.3,5.277876,-0.686702,-0.63399,0,0,0
0.93,6.086901,2.3,5.403539,-0.683362,-0.631404,0,0,0
0.94,6.209316,2.3,5.529203,-0.680112,-0.62888,1,0,0
0.95,0.048633,2.3,5.654867,-0.676951,-0.626419,0,0,0
0.96,0.171221,2.3,5.78053,-0.673876,-0.624019,0,0,0
0.97,0.293894,2.3,5.906194,-0.670885,-0.621679,0,0,0
0.98,0.416648,2.3,6.031858,-0.667976,-0.619398,0,0,0
0.99,0.539483,2.3,6.157522,-0.665146,-0.617174,0,0,0
1.0,0.662395,2.3,0.0,-0.662395,-0.615007,0,0,0
1.01,0.785383,2.3,0.125664,-0.659719,-0.612895,0,0,0
1.02,0.908445,2.3,0.251327,-0.657117,-0.610837,0,0,0
1.03,1.031579,2.3,0.376991,-0.654588,-0.608832,0,0,0
1.04,1.154783,2.3,0.502655,-0.652128,-0.606879,0,0,0
1.05,1.278055,2.3,0.628319,-0.649737,-0.604977,0,0,0
1.06,1.401394,2.3,0.753982,-0.647412,-0.603124,0,0,0
1.07,1.524798,2.3,0.879646,-0.645152,-0.60132,0,0,0
