t_s,phase_rad,freq_hz,phase_err,coupling_term,flash
0.000808,0.007611,1.495779,-0.007577,-0.007576647769530097,0
0.000812,0.007645,1.495761,-0.007611,-0.007610480786566511,0
0.000817,0.007689,1.495741,-0.007645,-0.007645252888910945,0
0.00082,0.007725,1.495717,-0.007689,-0.007688482290513507,0
0.000824,0.007761,1.495697,-0.007725,-0.007725132893867606,0
0.000829,0.007803,1.495677,-0.007761,-0.007760843233728652,0
0.000833,0.007846,1.495653,-0.007803,-0.0078031312692471684,0
0.000837,0.007882,1.495629,-0.007846,-0.007846358349724561,0
0.000841,0.007917,1.495609,-0.007882,-0.007882067043553358,0
0.000845,0.007952,1.49559,-0.007917,-0.00791683555564544,0
0.000849,0.007997,1.495571,-0.007952,-0.007951603607928778,0
0.000853,0.008033,1.495545,-0.007997,-0.007996707591077807,0
0.000857,0.008067,1.495526,-0.008033,-0.008032414242698852,0
0.000861,0.008103,1.495506,-0.008067,-0.008067180766169788,0
0.000864,0.008138,1.495486,-0.008103,-0.008102886460270915,0
0.000868,0.008173,1.495467,-0.008138,-0.008137652051346861,0
0.000872,0.008208,1.495447,-0.008173,-0.008173356787777471,0
0.000876,0.008244,1.495428,-0.008208,-0.008208121446311813,0
0.00088,0.00828,1.495408,-0.008244,-0.008243825224921338,0
0.000883,0.008315,1.495388,-0.00828,-0.0082795285181773,0
0.000887,0.008351,1.495368,-0.008315,-0.008315231326041053,0
0.000891,0.008387,1.495348,-0.008351,-0.008350933648473965,0
0.000895,0.008422,1.495328,-0.008387,-0.008386635485437405,0
0.000899,0.008467,1.495308,-0.008422,-0.008422336836892743,0
0.000903,0.008502,1.495284,-0.008467,-0.008466493234225096,0
0.000908,0.008549,1.495264,-0.008502,-0.008502193499533831,0
0.000914,0.008608,1.495238,-0.008549,-0.008549166704507618,0
0.000918,0.008643,1.495205,-0.008608,-0.008607412837843186,0
0.000922,0.00868,1.495185,-0.008643,-0.008643111185950085,0
0.000926,0.008715,1.495165,-0.00868,-0.00867974847274675,0
0.00093,0.008749,1.495146,-0.008715,-0.008714506425097622,0
0.000933,0.008786,1.495126,-0.008749,-0.008749263916821428,0
0.000937,0.008821,1.495106,-0.008786,-0.008785899720794466,0
0.000941,0.008856,1.495087,-0.008821,-0.008820656266253297,0
0.000946,0.008902,1.495067,-0.008856,-0.008855412350976293,0
0.00095,0.008938,1.495041,-0.008902,-0.008902379503876758,0
0.000954,0.008975,1.495021,-0.008938,-0.00893807383670145,0
0.000957,0.009011,1.495001,-0.008975,-0.008974707002217568,0
0.000961,0.009049,1.494981,-0.009011,-0.009010400350001231,0
0.000965,0.009085,1.494959,-0.009049,-0.009048911090188756,0
0.000969,0.009119,1.494939,-0.009085,-0.009084603427181004,0
0.000973,0.009155,1.49492,-0.009119,-0.009119356011635958,0
0.000977,0.009191,1.4949,-0.009155,-0.009155047388862666,0
0.00098,0.009227,1.49488,-0.009191,-0.00919073827975077,0
0.000984,0.009263,1.49486,-0.009227,-0.009226428684261741,0
0.000989,0.00931,1.49484,-0.009263,-0.009263057817762146,0
0.000994,0.009354,1.494814,-0.00931,-0.009310017389910349,0
0.000999,0.0094,1.494789,-0.009354,-0.009354158837098614,0
0.001003,0.009436,1.494764,-0.0094,-0.009400177878970266,0
0.001007,0.009473,1.494744,-0.009436,-0.009435865428435946,0
0.00101,0.009507,1.494723,-0.009473,-0.009472491631522162,0
0.001014,0.009543,1.494704,-0.009507,-0.00950723906773242,0
0.001018,0.00958,1.494684,-0.009543,-0.00954292515715752,0
0.001022,0.009615,1.494664,-0.00958,-0.009579549861660383,0
0.001026,0.009651,1.494644,-0.009615,-0.009615234964721511,0
0.001032,0.009715,1.494624,-0.009651,-0.00965091958094747,0
0.001036,0.009751,1.494588,-0.009715,-0.009714775325118998,0
0.00104,0.009786,1.494569,-0.009751,-0.0097504585831239,0
0.001044,0.009822,1.494549,-0.009786,-0.009786141354147834,0
0.001048,0.009858,1.494529,-0.009822,-0.009821823638152333,0
0.001051,0.009891,1.494509,-0.009858,-0.009857505435098935,0
0.001055,0.009927,1.49449,-0.009891,-0.009891308767203367,0
0.001059,0.009963,1.49447,-0.009927,-0.009926989615558802,0
0.001062,0.009998,1.49445,-0.009963,-0.009962669976743008,0
0.001067,0.010042,1.494431,-0.009998,-0.009997410899637186,0
0.001072,0.010085,1.494406,-0.010042,-0.010041540746141827,0
0.001077,0.010131,1.494382,-0.010085,-0.01008473092453569,0
0.001081,0.010168,1.494357,-0.010131,-0.010130736836888749,0
0.001085,0.010211,1.494336,-0.010168,-0.010168292196640455,0
0.001089,0.010248,1.494312,-0.010211,-0.010210541401903863,0
0.001093,0.010285,1.494291,-0.010248,-0.010248095613908208,0
0.001097,0.010321,1.494271,-0.010285,-0.010284710437276781,0
0.001101,0.010356,1.494251,-0.010321,-0.010320385911799844,0
0.001104,0.010392,1.494231,-0.010356,-0.010356060898728002,0
0.001108,0.010429,1.494211,-0.010392,-0.010391735398022859,0
0.001112,0.010463,1.494191,-0.010429,-0.01042834820643665,0
0.001116,0.0105,1.494172,-0.010463,-0.010463082933887657,0
0.00112,0.010535,1.494151,-0.0105,-0.010499694741171508,0
0.001123,0.010571,1.494132,-0.010535,-0.01053442851875855,0
0.001127,0.010607,1.494111,-0.010571,-0.010571039324754892,0
0.001131,0.010644,1.494092,-0.010607,-0.010606710884604567,0
0.001135,0.010678,1.494071,-0.010644,-0.010643320675977718,0
0.001139,0.010714,1.494052,-0.010678,-0.010678052540885122,0
0.001142,0.01075,1.494032,-0.010714,-0.010713722636910734,0
0.001147,0.010795,1.494012,-0.01075,-0.010749392244918275,0
