agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,pi_flash,1.940849,,,,4.849188,,,,0.537495
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.537495,0.537495
P0,pi_flash,1.940849,,,,0.399093,,,,0.687814
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.687814,0.687814
V0,pi_detected_virtual_flash,,,1,1.0,,65.0,0,,1.055004
P0,pi_flash,1.940849,,,,0.304782,,,,1.188541
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.188541,1.188541
V1,pi_detected_virtual_flash,,,1,0.6822,,56.0,1,,1.330188
V0,pi_detected_virtual_flash,,,1,0.7653,,54.0,0,,1.356012
P0,pi_flash,2.040314,,,,0.164765,,,,1.689338
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.689338,1.689338
V1,pi_detected_virtual_flash,,,1,1.0,,78.0,1,,1.850531
V0,pi_detected_virtual_flash,,,1,1.0,,67.0,0,,1.980475
P0,pi_flash,2.088228,,,,0.236069,,,,2.189668
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,2.189668,2.189668
V1,pi_detected_virtual_flash,,,1,0.7164,,60.0,1,,2.294196
V0,pi_detected_virtual_flash,,,1,1.0,,67.0,0,,2.329331
P0,pi_flash,2.155782,,,,0.414989,,,,2.689579
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,2.689579,2.689579
V0,pi_detected_virtual_flash,,,1,0.6977,,54.0,0,,2.856777
V1,pi_detected_virtual_flash,,,1,0.9429,,78.0,1,,2.856777
P0,pi_flash,2.181545,,,,0.198848,,,,3.156521
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.156521,3.156521
V0,pi_detected_virtual_flash,,,1,0.6977,,54.0,0,,3.301069
V1,pi_detected_virtual_flash,,,1,0.9286,,77.0,1,,3.301069
P0,pi_flash,2.176332,,,,0.146334,,,,3.624191
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.624191,3.624191
V0,pi_detected_virtual_flash,,,1,0.7042,,54.0,0,,3.823598
V1,pi_detected_virtual_flash,,,1,0.8815,,73.0,1,,3.823598
