agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
P0,13,0,2.054901,4.249426,,0,pi,6.492345,all_to_all
V0,15,1,2.010242,1.644719,14,28,virtual,6.759818,all_to_all
V1,14,1,2.016698,1.733918,14,29,virtual,6.759818,all_to_all
P0,15,1,2.042774,1.241816,,0,pi,6.759818,all_to_all
V0,15,0,2.008005,3.676185,15,29,virtual,6.992685,all_to_all
V1,14,0,2.013825,3.747758,15,30,virtual,6.992685,all_to_all
P0,15,0,2.029801,4.072129,,0,pi,6.992685,all_to_all
V0,16,1,2.004561,1.009268,16,31,virtual,7.29593,all_to_all
V1,15,1,2.009396,1.045922,16,32,virtual,7.29593,all_to_all
P0,16,0,2.012284,1.446333,,0,pi,7.29593,all_to_all
V0,16,0,2.002321,3.845069,16,31,virtual,7.526086,all_to_all
V1,15,0,2.006514,3.874232,16,32,virtual,7.526086,all_to_all
P0,16,0,1.996746,4.119092,,0,pi,7.526086,all_to_all
V0,17,1,1.999904,1.230767,17,33,virtual,7.832279,all_to_all
V1,16,1,2.003411,1.259594,17,34,virtual,7.832279,all_to_all
P0,17,0,1.983322,1.389847,,2,pi,7.832279,all_to_all
V0,17,0,1.998314,4.080571,17,33,virtual,8.059631,all_to_all
V1,16,0,2.001392,4.109872,17,34,virtual,8.059631,all_to_all
P0,17,0,1.972002,4.102841,,0,pi,8.059631,all_to_all
V0,18,1,1.996591,1.455696,18,35,virtual,8.365603,all_to_all
V1,17,1,1.999218,1.485113,18,36,virtual,8.365603,all_to_all
P0,18,0,1.962409,1.562988,,2,pi,8.365603,all_to_all
V0,18,0,1.995457,4.277129,18,35,virtual,8.593392,all_to_all
V1,17,0,1.997803,4.306113,18,36,virtual,8.593392,all_to_all
P0,18,0,1.954247,4.327791,,0,pi,8.593392,all_to_all
V0,19,1,1.994218,1.620034,19,37,virtual,8.860966,all_to_all
V1,18,1,1.996257,1.648073,19,38,virtual,8.860966,all_to_all
P0,19,0,1.94821,1.285865,,0,pi,8.860966,all_to_all
V0,19,0,1.993451,4.049918,19,37,virtual,9.093473,all_to_all
V1,18,0,1.995303,4.077058,19,38,virtual,9.093473,all_to_all
P0,19,0,1.941368,4.028359,,0,pi,9.093473,all_to_all
