actual_virtual_flash_count,agent_id,api_latency_max_ms,api_latency_mean_ms,api_request_count,api_success_count,background_brightness,calibration_assignment_method,calibration_valid,capture_frame_count,category,condition,count_absolute_error,count_recall,detected_frequency_estimate_hz,detected_rising_edge_count,failure_interpretation,flash_brightness,frequency_absolute_error_hz,group,intended_difficulty,normalized_signal_max,normalized_signal_mean,normalized_signal_min,normalized_signal_std,off_brightness,pass_repeat_agent,processing_fps,raw_signal_max,raw_signal_mean,raw_signal_min,raw_signal_range,raw_signal_std,repeat,repeat_dir,requested_frequency_hz,required_for_ready,roi_overlap_ratio,row_type,v0_position_xy,v0_size_px,v1_position_xy,v1_size_px,warnings
30,V0,16.606,10.276,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,30,0.0,,0,Difficult small-target low-contrast condition; failure does not block readiness.,120,,stress,stress_limit,0.0,0.0,0.0,0.0,80,False,29.813,15.0,10.669707,5.0,10.0,3.885577,1,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_01,1.0,False,0.0,repeat,"520,420",100,"1180,420",100,no_rising_edges_detected;normalised_signal_never_reached_on_threshold
60,V1,16.606,10.276,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,1,0.983333,2.001025,59,Difficult small-target low-contrast condition; failure does not block readiness.,120,0.001025,stress,stress_limit,1.0,0.481945,0.0,0.477121,80,True,29.813,24.0,12.731637,1.0,23.0,10.503566,1,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_01,2.0,False,0.0,repeat,"520,420",100,"1180,420",100,
30,V0,18.845,12.853,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,30,0.0,,0,Difficult small-target low-contrast condition; failure does not block readiness.,120,,stress,stress_limit,0.0,0.0,0.0,0.0,80,False,29.813,16.0,10.73763,6.0,10.0,3.551114,2,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_02,1.0,False,0.0,repeat,"520,420",100,"1180,420",100,no_rising_edges_detected;normalised_signal_never_reached_on_threshold
60,V1,18.845,12.853,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,1,0.983333,2.001005,59,Difficult small-target low-contrast condition; failure does not block readiness.,120,0.001005,stress,stress_limit,1.0,0.484373,0.0,0.476511,80,True,29.813,24.0,12.466603,1.0,23.0,10.142799,2,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_02,2.0,False,0.0,repeat,"520,420",100,"1180,420",100,
30,V0,16.442,11.865,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,30,0.0,,0,Difficult small-target low-contrast condition; failure does not block readiness.,120,,stress,stress_limit,0.0,0.0,0.0,0.0,80,False,29.813,15.0,10.40447,5.0,10.0,3.6454,3,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_03,1.0,False,0.0,repeat,"520,420",100,"1180,420",100,no_rising_edges_detected;normalised_signal_never_reached_on_threshold
60,V1,16.442,11.865,11,11,80,frequency_based,True,886,stress,small_low_contrast_stress,1,0.983333,2.001009,59,Difficult small-target low-contrast condition; failure does not block readiness.,120,0.001009,stress,stress_limit,1.0,0.471308,0.0,0.474823,80,True,29.813,24.0,12.386986,1.0,23.0,10.331153,3,experiments/logs/step5c1_multi_roi_detection/20260624_175949_small_low_contrast_stress/conditions/small_low_contrast_stress/repeat_03,2.0,False,0.0,repeat,"520,420",100,"1180,420",100,
