model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,local_ring_5,n5_near_identical,1,5,True,True,True,True,True,0.002097,1.0,0.0,0.028,0.004443,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,2,5,True,True,True,True,True,0.0,1.0,0.0,0.028762,0.004017,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,3,5,True,True,True,True,True,0.002097,1.0,0.0,0.028952,0.004043,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,4,5,True,True,True,True,True,0.0,1.0,0.0,0.028,0.004443,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,5,5,True,True,True,True,True,0.002097,1.0,0.0,0.028952,0.004089,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,6,5,True,True,True,True,True,0.0,1.0,0.0,0.028095,0.004443,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,7,5,True,True,True,True,True,0.0,1.0,0.0,0.028857,0.00406,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,8,5,True,True,True,True,True,0.0,1.0,0.0,0.028857,0.004041,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,9,5,True,True,True,True,True,0.0,1.0,0.0,0.028857,0.004041,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_near_identical,10,5,True,True,True,True,True,0.0,1.0,0.0,0.028152,0.004417,0.964139,full_group_sync
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,1,5,False,False,False,False,False,0.396513,1.2105,0.4,0.110647,0.115248,0.516385,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,2,5,False,False,False,False,False,0.40812,1.2105,0.4,0.10132,0.087615,0.517275,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,3,5,False,False,False,False,False,0.396906,1.2105,0.4,0.11209,0.113368,0.517191,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.405789,1.2105,0.4,0.10264,0.084158,0.516547,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,5,5,False,False,False,False,False,0.3973,1.2105,0.4,0.103673,0.089177,0.518471,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,6,5,False,False,False,False,False,0.399223,1.2105,0.4,0.103776,0.090182,0.51687,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,7,5,False,False,False,False,False,0.3973,1.2105,0.4,0.103929,0.089713,0.517995,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,8,5,False,False,False,False,False,0.405789,1.2105,0.4,0.103969,0.086008,0.523817,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,9,5,False,False,False,False,False,0.40387,1.2105,0.4,0.1014,0.083483,0.517387,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_ring_5,n5_strong_heterogeneity,10,5,False,False,False,False,False,0.396906,1.2105,0.4,0.101624,0.087746,0.537195,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_near_identical,1,5,False,True,False,True,True,0.002093,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,2,5,False,True,False,True,True,0.002093,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,3,5,False,True,False,True,True,0.002093,1.0,0.0,0.075048,0.00401,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,4,5,False,True,False,True,True,0.0,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,5,5,False,True,False,True,True,0.0,1.0,0.0,0.074952,0.004005,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,6,5,False,True,False,True,True,0.002093,1.0,0.0,0.075333,0.004345,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,7,5,False,True,False,True,True,0.0,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,8,5,False,True,False,True,True,0.002093,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,9,5,False,True,False,True,True,0.0,1.0,0.0,0.074857,0.003976,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_near_identical,10,5,False,True,False,True,True,0.002093,1.0,0.0,0.075143,0.003991,0.777213,offset_phase_locked
kuramoto,baseline,chain_5,n5_strong_heterogeneity,1,5,False,False,False,False,False,0.356126,1.2105,0.4,0.1194,0.107047,0.393308,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,2,5,False,False,False,False,False,0.359677,1.2105,0.4,0.114877,0.096318,0.402888,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,3,5,False,False,False,False,False,0.359764,1.2105,0.4,0.12085,0.108802,0.399442,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,4,5,False,False,False,False,False,0.361673,1.2105,0.4,0.114236,0.096069,0.40468,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,5,5,False,False,False,False,False,0.350161,1.2105,0.4,0.110788,0.085806,0.392112,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,6,5,False,False,False,False,False,0.350161,1.2105,0.4,0.108431,0.083924,0.390508,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,7,5,False,False,False,False,False,0.352755,1.2105,0.4,0.11734,0.099115,0.412126,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,8,5,False,False,False,False,False,0.350161,1.2105,0.4,0.108971,0.088133,0.393555,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,9,5,False,False,False,False,False,0.352755,1.2105,0.4,0.117833,0.099659,0.39862,extra_flashes_or_harmonic_locking
kuramoto,baseline,chain_5,n5_strong_heterogeneity,10,5,False,False,False,False,False,0.355058,1.2105,0.4,0.115764,0.097365,0.405434,extra_flashes_or_harmonic_locking
kuramoto,baseline,local_degree_2_3,n5_near_identical,1,5,True,True,True,True,True,0.0,1.0,0.0,0.033429,0.003249,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,2,5,True,True,True,True,True,0.0,1.0,0.0,0.033524,0.003192,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,3,5,True,True,True,True,True,0.0,1.0,0.0,0.03381,0.003246,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,4,5,True,True,True,True,True,0.0,1.0,0.0,0.033905,0.003155,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,5,5,True,True,True,True,True,0.0,1.0,0.0,0.034167,0.003732,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,6,5,True,True,True,True,True,0.002047,1.0,0.0,0.033619,0.003262,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,7,5,True,True,True,True,True,0.002047,1.0,0.0,0.03419,0.00383,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,8,5,True,True,True,True,True,0.002047,1.0,0.0,0.033905,0.003155,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,9,5,True,True,True,True,True,0.0,1.0,0.0,0.034095,0.003089,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_near_identical,10,5,True,True,True,True,True,0.0,1.0,0.0,0.033429,0.003249,0.953476,full_group_sync
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,1,5,False,False,False,True,True,0.002051,1.0,0.0,0.1025,0.043849,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,2,5,False,False,False,True,True,0.002051,1.0,0.0,0.104734,0.065861,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,3,5,False,True,False,True,True,0.002051,1.0,0.0,0.094925,0.003315,0.667779,offset_phase_locked
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,4,5,False,False,False,True,True,0.0,1.0,0.0,0.104928,0.065878,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,5,5,False,True,False,True,True,0.002051,1.0,0.0,0.095,0.003303,0.667779,offset_phase_locked
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,6,5,False,False,False,True,True,0.002051,1.0,0.0,0.104928,0.065443,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,7,5,False,True,False,True,True,0.002051,1.0,0.0,0.096318,0.001908,0.667779,offset_phase_locked
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,8,5,False,False,False,True,True,0.002051,1.0,0.0,0.104928,0.066546,0.667779,phase_not_synchronised
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,9,5,False,True,False,True,True,0.002051,1.0,0.0,0.096318,0.001908,0.667779,offset_phase_locked
kuramoto,baseline,local_degree_2_3,n5_strong_heterogeneity,10,5,False,False,False,True,True,0.002051,1.0,0.0,0.103575,0.066258,0.667779,phase_not_synchronised
pco_simple,simple,local_ring_5,n5_near_identical,1,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,2,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,3,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,4,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,5,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,6,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,7,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,8,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,9,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,10,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,1,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,2,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,3,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,4,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,5,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,6,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,7,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,8,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,9,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
