model,variant,topology,freq_set,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
kuramoto,baseline,all_to_all,strong_heterogeneity,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.066834,0.003085,0.874471,full_group_sync
kuramoto,baseline,chain,near_identical,2,1.0,1.0,1.0,1.0,1.0,0.001036,1.0,0.0,0.025556,0.0028,0.980123,full_group_sync
kuramoto,baseline,chain,strong_heterogeneity,2,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.099468,0.03707,0.754906,offset_phase_locked
kuramoto,baseline,directed_chain,near_identical,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.043834,0.004034,0.94817,full_group_sync
kuramoto,baseline,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.597536,1.3125,0.5,0.145104,0.116164,0.518296,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.165085,0.077007,0.97071,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.165085,0.077007,0.97071,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
