event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,1.298843
virtual_flash,kuramoto,camera,1.650267
pi_flash,kuramoto,pi_oscillator,2.151038
pi_flash,kuramoto,pi_oscillator,2.745958
virtual_flash,kuramoto,camera,2.870575
virtual_flash,kuramoto,camera,3.315563
pi_flash,kuramoto,pi_oscillator,3.455585
virtual_flash,kuramoto,camera,3.847648
pi_flash,kuramoto,pi_oscillator,4.052306
virtual_flash,kuramoto,camera,4.530324
pi_flash,kuramoto,pi_oscillator,4.930536
virtual_flash,kuramoto,camera,5.159469
virtual_flash,kuramoto,camera,5.710033
pi_flash,kuramoto,pi_oscillator,5.759953
virtual_flash,kuramoto,camera,6.310477
pi_flash,kuramoto,pi_oscillator,6.310477
virtual_flash,kuramoto,camera,6.667391
pi_flash,kuramoto,pi_oscillator,6.974656
virtual_flash,kuramoto,camera,7.309164
pi_flash,kuramoto,pi_oscillator,7.852078
virtual_flash,kuramoto,camera,7.995457
virtual_flash,kuramoto,camera,8.527678
pi_flash,kuramoto,pi_oscillator,8.56229
virtual_flash,kuramoto,camera,9.037611
pi_flash,kuramoto,pi_oscillator,9.137142
virtual_flash,kuramoto,camera,9.601226
pi_flash,kuramoto,pi_oscillator,9.694115
pi_flash,kuramoto,pi_oscillator,10.223958
virtual_flash,kuramoto,camera,10.352266
virtual_flash,kuramoto,camera,10.783494
pi_flash,kuramoto,pi_oscillator,10.928603
virtual_flash,kuramoto,camera,11.317765
pi_flash,kuramoto,pi_oscillator,11.517156
virtual_flash,kuramoto,camera,11.967731
pi_flash,kuramoto,pi_oscillator,12.1175
virtual_flash,kuramoto,camera,12.612271
pi_flash,kuramoto,pi_oscillator,12.762945
virtual_flash,kuramoto,camera,13.168135
pi_flash,kuramoto,pi_oscillator,13.31788
virtual_flash,kuramoto,camera,13.805284
pi_flash,kuramoto,pi_oscillator,13.95468
virtual_flash,kuramoto,camera,14.367955
pi_flash,kuramoto,pi_oscillator,14.566611
virtual_flash,kuramoto,camera,14.979563
pi_flash,kuramoto,pi_oscillator,15.181282
virtual_flash,kuramoto,camera,15.551487
pi_flash,kuramoto,pi_oscillator,15.834079
virtual_flash,kuramoto,camera,16.204626
pi_flash,kuramoto,pi_oscillator,16.559089
virtual_flash,kuramoto,camera,16.851786
virtual_flash,kuramoto,camera,17.355971
pi_flash,kuramoto,pi_oscillator,17.404122
virtual_flash,kuramoto,camera,17.884079
pi_flash,kuramoto,pi_oscillator,17.98354
virtual_flash,kuramoto,camera,18.441569
pi_flash,kuramoto,pi_oscillator,18.541984
virtual_flash,kuramoto,camera,18.957963
pi_flash,kuramoto,pi_oscillator,19.085659
virtual_flash,kuramoto,camera,19.61821
pi_flash,kuramoto,pi_oscillator,19.670568
virtual_flash,kuramoto,camera,20.182656
pi_flash,kuramoto,pi_oscillator,20.232729
virtual_flash,kuramoto,camera,20.69827
pi_flash,kuramoto,pi_oscillator,20.785998
virtual_flash,kuramoto,camera,21.258552
pi_flash,kuramoto,pi_oscillator,21.354743
virtual_flash,kuramoto,camera,21.788556
pi_flash,kuramoto,pi_oscillator,21.884919
virtual_flash,kuramoto,camera,22.318181
pi_flash,kuramoto,pi_oscillator,22.476338
virtual_flash,kuramoto,camera,22.847712
pi_flash,kuramoto,pi_oscillator,23.255671
virtual_flash,kuramoto,camera,23.486882
pi_flash,kuramoto,pi_oscillator,24.006111
virtual_flash,kuramoto,camera,24.1293
virtual_flash,kuramoto,camera,24.582257
pi_flash,kuramoto,pi_oscillator,24.682659
virtual_flash,kuramoto,camera,25.007732
pi_flash,kuramoto,pi_oscillator,25.305423
virtual_flash,kuramoto,camera,25.652839
pi_flash,kuramoto,pi_oscillator,26.178096
virtual_flash,kuramoto,camera,26.305739
virtual_flash,kuramoto,camera,26.869436
pi_flash,kuramoto,pi_oscillator,26.869436
virtual_flash,kuramoto,camera,27.285411
pi_flash,kuramoto,pi_oscillator,27.457836
virtual_flash,kuramoto,camera,27.922121
pi_flash,kuramoto,pi_oscillator,28.072181
virtual_flash,kuramoto,camera,28.487827
pi_flash,kuramoto,pi_oscillator,28.637628
virtual_flash,kuramoto,camera,29.00814
pi_flash,kuramoto,pi_oscillator,29.194205
virtual_flash,kuramoto,camera,29.657711
pi_flash,kuramoto,pi_oscillator,29.93088
