model,pi_initial_freq,n_trials,actual_fcr_mean,actual_fcr_std,final5_mae_mean,final5_mae_std,final5_abs_means_mean,virtual_final_mean,pi_final_mean,virtual_freq_std_mean,pi_freq_std_mean
eapf_consensus,1.2,3,0.9597333333333333,0.02534804397450288,0.029107333333333336,0.01929252369010683,0.028797666666666666,1.9082883333333334,1.8794903333333333,0.000387,0.007931333333333334
kuramoto,1.2,3,0.9378000000000001,0.05673156088104749,0.43970400000000004,0.08394525681061435,0.37068866666666667,1.9302426666666668,1.5595543333333335,0.20483866666666664,0.38393733333333335
eapf_consensus,1.5,3,0.9374666666666666,0.04310131475179541,0.08356633333333334,0.045425897044894255,0.08356633333333334,1.9491976666666666,1.8656306666666669,0.0009113333333333334,0.003450333333333333
kuramoto,1.5,3,0.9461,0.03685091586378823,0.3484643333333333,0.1332545499948626,0.11937333333333335,1.848205,1.7447046666666666,0.21662400000000004,0.3782133333333333
eapf_consensus,2.5,3,0.9413666666666667,0.010161364737737384,0.02555566666666667,0.014575074488088676,0.015418666666666669,2.1257916666666667,2.1386950000000002,0.0005526666666666667,0.021829666666666664
kuramoto,2.5,3,0.8240666666666666,0.04329449541608416,0.451205,0.03999600843834295,0.10719766666666668,2.192813666666667,2.0856163333333337,0.320701,0.415618
