trial_id,trial_dir,model,virtual_initial_freq,pi_initial_freq,duration,repeat,seed,trial_seed,random_phase_enabled,virtual_initial_phase_rad,pi_initial_phase_rad,initial_phase_difference_rad,feedback_enabled,model_parameters_json,eapf_g_p,eapf_g_f,eapf_alpha_p,eapf_alpha_f,eapf_delta_theta_max_rad,eapf_delta_f_max_hz,kuramoto_K,virtual_fire_count_start,virtual_fire_count_end,actual_virtual_flashes,pi_detected_virtual_flashes,actual_detection_fcr,nominal_expected_flashes,nominal_fcr,virtual_frequency_start,virtual_frequency_end,pi_final_frequency_hz,final_frequency_error_hz,mean_frequency_error_final_10s,median_frequency_error_final_10s,mean_timing_error_final_10s,median_timing_error_final_10s,time_to_frequency_lock_s,time_to_timing_lock_s,virtual_flash_count,pi_flash_count,flash_count_ratio,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,virtual_freq_final_5s_mean,pi_freq_final_5s_mean,frequency_error_final_5s_mean_abs,frequency_error_final_5s_abs_of_means,virtual_freq_final_5s_std,pi_freq_final_5s_std,loop_rate_hz,timeout_or_failure,error_message,appendix_workflow,appendix_label,locked_k_main_step5b,sensitivity_analysis,phase_seed,phase_seed_index,condition_key,frequency_mismatch_hz,angular_mismatch_rad_s,one_way_Kc_approx,mutual_Kc_approx,api_drop_count,capture_drop_count,short_interval_warning_count,frontend_warning_count,kuramoto_debug_warning_count,failed_or_invalid_trial,theory_note,model_parameters,pi_flash_events_consumed_end,pi_flash_events_consumed_start,pi_flash_posts_received_end,pi_flash_posts_received_start
kuramoto_K4_V2_P1p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P1p5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 4.0}",,,,,,,4.0,0,55,55,49,0.8909,60,0.8167,2.0,1.796069,1.812218,0.02967,0.234821,0.185009,0.101746,0.051212,,16.616032,49,49,0.890909,49,49,49,1.704137,1.714743,0.302633,0.010606,0.158516,0.40044,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260622,2,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,65,65,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},49,0,49,0
kuramoto_K4_V2_P1p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P1p5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""K"": 4.0}",,,,,,,4.0,0,54,54,43,0.7963,60,0.7167,2.0,1.793167,1.84644,0.050861,0.40679,0.321559,0.164784,0.100427,,9.472466,43,48,0.888889,48,48,48,1.899869,1.655388,0.437677,0.24448,0.422953,0.341483,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260625,5,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,64,64,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},48,0,48,0
kuramoto_K4_V2_P2p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P2p5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""K"": 4.0}",,,,,,,4.0,0,63,63,44,0.6984,60,0.7333,2.0,2.228514,2.097757,0.393289,0.402341,0.33119,0.236475,0.150066,,,44,62,0.984127,62,62,62,2.261163,2.143872,0.42863,0.117291,0.237121,0.383476,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260623,3,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,123,123,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},62,0,62,0
kuramoto_K4_V2_P2p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P2p5_r02,kuramoto,2.0,2.5,30.0,2,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 4.0}",,,,,,,4.0,0,65,65,53,0.8154,60,0.8833,2.0,1.974419,2.079854,0.093706,0.33269,0.223641,0.126901,0.119347,,,53,63,0.969231,63,63,63,2.152427,2.211553,0.27488,0.059126,0.119512,0.357003,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260626,6,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,143,143,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},63,0,63,0
kuramoto_K4p5_V2_P1p2_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P1p2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""K"": 4.5}",,,,,,,4.5,0,51,51,47,0.9216,60,0.7833,2.0,1.656162,1.512734,0.266997,0.390567,0.345096,0.114003,0.116085,,13.580727,47,41,0.803922,41,41,41,1.735457,1.360797,0.405784,0.374659,0.096882,0.432506,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260621,1,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,71,71,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},41,0,41,0
kuramoto_K4p5_V2_P1p2_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P1p2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 4.5}",,,,,,,4.5,0,51,51,48,0.9412,60,0.8,2.0,2.677423,1.724313,0.106109,0.191214,0.125515,0.105092,0.100414,,15.365465,48,40,0.784314,40,40,40,1.768842,1.681658,0.224925,0.087184,0.028447,0.346477,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260624,4,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,66,66,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},40,0,40,0
kuramoto_K4p5_V2_P1p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P1p5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 4.5}",,,,,,,4.5,0,54,54,51,0.9444,60,0.85,2.0,1.964639,1.782761,0.006131,0.439429,0.423015,0.133932,0.110185,,,51,47,0.87037,47,47,47,1.736549,1.883354,0.410414,0.146805,0.323454,0.273928,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260622,2,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,94,94,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},47,0,47,0
kuramoto_K4p5_V2_P1p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P1p5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""K"": 4.5}",,,,,,,4.5,0,58,58,54,0.931,60,0.9,2.0,2.223979,1.895892,0.000814,0.375785,0.328475,0.076457,0.066145,,1.391004,54,54,0.931034,54,54,54,1.934531,2.020353,0.341284,0.085822,0.327937,0.246778,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260625,5,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,55,55,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},54,0,54,0
kuramoto_K4p5_V2_P2p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P2p5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""K"": 4.5}",,,,,,,4.5,0,63,63,49,0.7778,60,0.8167,2.0,1.994562,2.071947,0.192239,0.344037,0.292991,0.149452,0.118373,,,49,60,0.952381,60,60,60,2.111671,2.069639,0.278241,0.042032,0.166714,0.339327,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260623,3,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,132,132,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},60,0,60,0
kuramoto_K4p5_V2_P2p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4p5_V2_P2p5_r02,kuramoto,2.0,2.5,30.0,2,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 4.5}",,,,,,,4.5,0,62,62,43,0.6935,60,0.7167,2.0,2.10151,1.981712,0.357607,0.310292,0.234594,0.205756,0.121606,,,43,59,0.951613,59,59,59,2.085906,2.089178,0.333873,0.003272,0.132841,0.427346,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260626,6,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,109,109,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.5},59,0,59,0
