trial_id,trial_dir,model,virtual_initial_freq,pi_initial_freq,duration,repeat,seed,trial_seed,random_phase_enabled,virtual_initial_phase_rad,pi_initial_phase_rad,initial_phase_difference_rad,feedback_enabled,model_parameters_json,eapf_g_p,eapf_g_f,eapf_alpha_p,eapf_alpha_f,eapf_delta_theta_max_rad,eapf_delta_f_max_hz,kuramoto_K,virtual_fire_count_start,virtual_fire_count_end,actual_virtual_flashes,pi_detected_virtual_flashes,actual_detection_fcr,nominal_expected_flashes,nominal_fcr,virtual_frequency_start,virtual_frequency_end,pi_final_frequency_hz,final_frequency_error_hz,mean_frequency_error_final_10s,median_frequency_error_final_10s,mean_timing_error_final_10s,median_timing_error_final_10s,time_to_frequency_lock_s,time_to_timing_lock_s,virtual_flash_count,pi_flash_count,flash_count_ratio,received_pi_flashes,pi_flash_posts_received,pi_flash_events_consumed,virtual_freq_final_5s_mean,pi_freq_final_5s_mean,frequency_error_final_5s_mean_abs,frequency_error_final_5s_abs_of_means,virtual_freq_final_5s_std,pi_freq_final_5s_std,loop_rate_hz,timeout_or_failure,error_message,appendix_workflow,appendix_label,locked_k_main_step5b,sensitivity_analysis,phase_seed,phase_seed_index,condition_key,frequency_mismatch_hz,angular_mismatch_rad_s,one_way_Kc_approx,mutual_Kc_approx,api_drop_count,capture_drop_count,short_interval_warning_count,frontend_warning_count,kuramoto_debug_warning_count,failed_or_invalid_trial,theory_note,model_parameters,pi_flash_events_consumed_end,pi_flash_events_consumed_start,pi_flash_posts_received_end,pi_flash_posts_received_start
kuramoto_K3_V2_P2p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P2p5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""K"": 3.0}",,,,,,,3.0,0,64,64,47,0.7344,60,0.7833,2.0,2.100842,2.124025,0.297143,0.213467,0.150007,0.199744,0.1188,,,47,61,0.953125,61,61,61,2.136316,2.197091,0.170831,0.060775,0.041416,0.247573,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260623,3,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,70,70,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},61,0,61,0
kuramoto_K3_V2_P2p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3_V2_P2p5_r02,kuramoto,2.0,2.5,30.0,2,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 3.0}",,,,,,,3.0,0,63,63,47,0.746,60,0.7833,2.0,2.264546,2.127405,0.076862,0.213767,0.188974,0.136778,0.116411,,,47,63,1.0,62,62,62,2.280133,2.194814,0.202012,0.085319,0.129622,0.21974,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260626,6,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,1,57,57,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.0},62,0,62,0
kuramoto_K3p5_V2_P1p2_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P1p2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""K"": 3.5}",,,,,,,3.5,0,51,51,49,0.9608,60,0.8167,1.464549,1.985936,1.370662,0.317146,0.566897,0.562287,0.100046,0.109953,,,49,37,0.72549,37,37,37,1.936028,1.300982,0.674702,0.635046,0.46898,0.355703,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260621,1,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,95,95,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},37,0,37,0
kuramoto_K3p5_V2_P1p2_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P1p2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 3.5}",,,,,,,3.5,0,52,52,47,0.9038,60,0.7833,2.0,1.453054,1.314613,0.321017,0.47628,0.396855,0.13239,0.116565,,,47,35,0.673077,35,35,35,1.715394,1.226222,0.560853,0.489173,0.458034,0.363772,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260624,4,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,84,84,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},35,0,35,0
kuramoto_K3p5_V2_P1p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P1p5_r01,kuramoto,2.0,1.5,30.0,1,20260620,20260622,True,5.83459,4.37697,-1.457621,True,"{""K"": 3.5}",,,,,,,3.5,0,56,56,52,0.9286,60,0.8667,2.0,1.873469,1.844582,0.003234,0.24106,0.168806,0.090229,0.071816,,8.810951,52,52,0.928571,51,51,51,1.854857,1.949692,0.123012,0.094836,0.066899,0.087761,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260622,2,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,43,43,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},51,0,51,0
kuramoto_K3p5_V2_P1p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P1p5_r02,kuramoto,2.0,1.5,30.0,2,20260620,20260625,True,2.340413,4.527871,2.187458,True,"{""K"": 3.5}",,,,,,,3.5,0,54,54,49,0.9074,60,0.8167,2.0,1.823774,1.813484,0.043287,0.25755,0.202635,0.101664,0.0514,,2.217412,49,50,0.925926,50,50,50,1.900668,1.840549,0.179289,0.06012,0.119805,0.228615,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260625,5,V2_P1.5,0.5,3.141593,3.141593,1.570796,0,0,0,27,27,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},50,0,50,0
kuramoto_K3p5_V2_P2p5_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P2p5_r01,kuramoto,2.0,2.5,30.0,1,20260620,20260623,True,3.784068,1.777726,-2.006341,True,"{""K"": 3.5}",,,,,,,3.5,0,64,64,48,0.75,60,0.8,2.0,2.360285,2.012744,0.226579,0.296734,0.274692,0.144424,0.115436,,,48,62,0.96875,62,62,62,2.115796,2.215717,0.356625,0.09992,0.286791,0.347972,29.94,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260623,3,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,0,147,147,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},62,0,62,0
kuramoto_K3p5_V2_P2p5_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K3p5_V2_P2p5_r02,kuramoto,2.0,2.5,30.0,2,20260620,20260626,True,5.700511,0.488682,1.071357,True,"{""K"": 3.5}",,,,,,,3.5,0,65,65,51,0.7846,60,0.85,2.0,1.675773,2.069444,0.253051,0.253699,0.168859,0.134584,0.120161,,,51,63,0.969231,63,63,63,2.101356,2.219018,0.279772,0.117661,0.170879,0.331312,29.95,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260626,6,V2_P2.5,0.5,3.141593,3.141593,1.570796,0,0,1,135,135,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 3.5},63,0,63,0
kuramoto_K4_V2_P1p2_r01,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P1p2_r01,kuramoto,2.0,1.2,30.0,1,20260620,20260621,True,2.951395,3.693125,0.74173,True,"{""K"": 4.0}",,,,,,,4.0,0,52,52,50,0.9615,60,0.8333,2.0,1.481969,1.678061,0.152678,0.455986,0.359525,0.103727,0.097814,,24.42418,50,42,0.807692,42,42,42,2.066423,1.570613,0.520952,0.495811,0.352166,0.359213,29.86,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260621,1,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,73,73,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},42,0,42,0
kuramoto_K4_V2_P1p2_r02,experiments/logs/step5b_kuramoto_k_sensitivity/k_sweep_20260621_v4/kuramoto_K4_V2_P1p2_r02,kuramoto,2.0,1.2,30.0,2,20260620,20260624,True,5.031916,5.780777,0.748861,True,"{""K"": 4.0}",,,,,,,4.0,0,53,53,48,0.9057,60,0.8,2.0,1.772622,1.622946,0.033232,0.580628,0.500215,0.08265,0.097862,,23.696181,48,40,0.754717,40,40,40,1.860628,1.510245,0.431835,0.350383,0.348224,0.365781,29.93,False,,k-sweep,Appendix: Kuramoto gain sensitivity,5.0,True,20260624,4,V2_P1.2,0.8,5.026548,5.026548,2.513274,0,0,0,87,87,False,"For mismatch df, dw=2*pi*df. One-way driven intuition: K_c ~= dw. Symmetric two-oscillator mutual Kuramoto intuition: K_c ~= dw/2. Step 5B event-based visual HIL reconstructs neighbour phase from flash events, so these are diagnostic values rather than exact thresholds.",{'K': 4.0},40,0,40,0
