t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
1.6e-05,0,0,100.0,0.0,1059.29
1.059396,0,0,113.0,0.0,63.21
1.1227,0,0,122.0,0.0,105.15
1.227927,0,0,104.0,0.0,100.06
1.328058,0,0,105.67,0.0,75.59
1.403722,0,0,105.33,0.0,67.92
1.471713,0,0,123.33,0.0,78.93
1.550711,0,0,123.0,0.0,79.09
1.629872,0,0,121.67,0.0,93.86
1.723806,0,0,103.33,0.0166,100.89
1.82477,0,0,105.0,0.0849,75.27
1.900115,0,0,104.67,0.0653,66.94
1.967125,1,1,122.33,0.9724,77.86
2.045122,1,0,121.67,0.9414,76.86
2.122108,1,0,122.67,0.9897,88.13
2.210356,0,0,103.33,0.0,99.04
2.309509,0,0,107.0,0.1885,98.12
2.407743,0,0,108.67,0.2747,87.59
2.495466,1,1,122.33,0.9791,91.9
2.587568,1,0,122.67,0.9983,59.99
2.647665,1,0,116.67,0.6898,89.21
2.736978,0,0,103.67,0.0158,98.3
2.83538,0,0,106.67,0.1698,71.92
2.907489,0,0,105.67,0.1163,65.21
2.972862,1,1,122.33,0.9823,75.61
3.048676,1,0,122.67,1.0,77.11
3.125952,1,0,122.0,0.965,91.94
3.218051,0,0,104.0,0.0226,99.55
3.317764,0,0,107.0,0.1782,97.13
3.415054,0,0,110.0,0.3343,84.0
3.499229,1,1,123.33,1.0,75.46
3.574922,1,0,123.67,1.0,78.46
3.653548,1,0,113.33,0.4997,89.0
3.742721,0,0,104.33,0.0293,98.65
3.841541,0,0,108.0,0.2202,68.84
3.910551,0,0,108.33,0.2366,61.63
3.972346,1,1,122.33,0.9751,76.28
4.048845,1,0,124.0,1.0,76.07
4.125088,1,0,124.33,1.0,88.31
4.213576,0,0,104.33,0.0187,98.13
4.311889,0,0,107.67,0.1899,97.64
4.409712,0,0,108.67,0.242,84.08
4.493973,1,1,123.33,1.0,76.75
4.570979,1,0,122.67,0.9659,76.48
4.64765,1,0,118.67,0.7589,87.44
4.73528,0,0,103.67,0.0,98.35
4.833815,0,0,106.67,0.144,73.18
4.907183,0,0,105.33,0.0735,65.93
4.973296,1,1,122.67,0.966,76.28
5.0498,1,0,122.33,0.9483,76.89
5.126911,1,0,123.33,1.0,89.05
5.216157,0,0,104.0,0.0,97.72
5.314068,0,0,107.0,0.1552,97.29
5.411553,0,0,108.33,0.224,83.55
5.495296,1,1,122.67,0.9659,75.7
5.57123,1,0,122.0,0.9312,76.33
5.647797,1,0,117.0,0.6725,88.37
5.736369,0,0,103.33,0.0,97.29
5.833864,0,0,106.0,0.1035,72.48
5.906545,0,0,105.0,0.0517,65.83
5.97257,1,1,121.67,0.9141,74.39
6.047204,1,0,122.33,0.9483,76.12
6.123531,1,0,123.33,1.0,87.93
6.211667,0,0,104.0,0.0,98.83
6.310705,0,0,107.33,0.1723,97.29
6.408209,0,0,108.0,0.2069,83.93
6.492348,1,1,122.67,0.9659,75.94
6.56853,1,0,122.33,0.9483,75.05
6.643792,1,0,119.67,0.8107,88.26
6.732266,0,0,104.67,0.0347,98.22
6.830697,0,0,107.33,0.1723,73.07
6.903979,0,0,106.0,0.1035,65.35
6.969536,1,1,122.67,0.9659,76.59
7.046388,1,0,123.0,0.9829,76.33
7.12296,1,0,124.0,1.0,88.17
7.211347,0,0,104.33,0.0017,97.6
7.309169,0,0,107.67,0.1758,97.42
7.406831,0,0,108.0,0.1932,84.53
7.491581,1,1,122.67,0.9653,76.57
7.568412,1,0,121.67,0.9126,88.55
7.657244,1,0,120.33,0.8424,78.02
7.735493,0,0,104.33,0.0,94.08
7.829798,0,0,106.33,0.1053,72.44
7.902468,0,0,105.0,0.0353,66.56
7.969256,1,1,122.0,0.93,75.45
8.04497,1,0,121.33,0.8947,76.85
8.122045,1,0,123.0,0.9826,87.17
8.209449,0,0,103.67,0.0,97.94
8.307624,0,0,107.0,0.1405,96.49
8.404346,0,0,106.33,0.1053,84.46
8.489043,1,1,122.0,0.93,76.6
8.565918,1,0,121.0,0.8774,73.81
8.639972,1,0,122.33,0.9641,87.1
8.727321,0,0,103.0,0.0,96.68
8.824238,0,0,105.67,0.0718,74.62
8.899097,0,0,105.0,0.0359,65.5
8.964844,1,1,121.33,0.9106,76.73
9.041856,1,0,120.67,0.8752,75.64
9.117738,1,0,122.33,0.9641,85.71
9.203701,0,0,103.0,0.0,97.39
9.301344,0,0,106.0,0.1071,96.77
9.398356,0,0,105.33,0.0712,66.24
9.464866,1,1,121.0,0.9106,57.66
9.522852,1,0,121.33,0.9282,73.39
9.596498,1,0,122.0,0.9641,80.46
9.677219,0,0,105.33,0.0712,92.77
9.770248,0,0,104.67,0.0185,99.09
9.869594,0,0,106.0,0.0911,68.7
9.938545,0,0,109.33,0.2726,59.43
9.998236,1,1,122.0,0.9635,76.07
10.074601,1,0,122.33,0.9815,75.73
10.150597,1,0,115.0,0.5818,88.28
10.239147,0,0,104.33,0.0,96.86
10.336269,0,0,108.0,0.2001,70.58
10.407117,0,0,106.33,0.1091,63.82
10.471205,1,1,122.0,0.9635,74.72
10.54623,1,0,122.67,1.0,74.76
10.621264,1,0,123.0,1.0,87.37
10.708909,0,0,104.67,0.0185,97.08
10.806257,0,0,107.67,0.1806,96.61
10.903143,0,0,106.33,0.1074,65.43
10.968886,1,1,121.0,0.9088,57.22
11.026423,1,0,121.67,0.9454,75.09
11.101796,1,0,122.0,0.9634,81.3
11.183377,0,0,104.33,0.0,93.91
