event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.532703
virtual_flash,kuramoto,camera,1.018883
virtual_flash,kuramoto,camera,1.468238
pi_flash,kuramoto,pi_oscillator,1.549899
virtual_flash,kuramoto,camera,2.013055
pi_flash,kuramoto,pi_oscillator,2.217379
virtual_flash,kuramoto,camera,2.663882
pi_flash,kuramoto,pi_oscillator,3.244612
virtual_flash,kuramoto,camera,3.409405
pi_flash,kuramoto,pi_oscillator,4.012503
virtual_flash,kuramoto,camera,4.12207
virtual_flash,kuramoto,camera,4.505275
pi_flash,kuramoto,pi_oscillator,4.992956
virtual_flash,kuramoto,camera,5.299772
virtual_flash,kuramoto,camera,5.916767
pi_flash,kuramoto,pi_oscillator,5.980159
virtual_flash,kuramoto,camera,6.343201
pi_flash,kuramoto,pi_oscillator,6.534967
virtual_flash,kuramoto,camera,7.1151
pi_flash,kuramoto,pi_oscillator,7.291767
virtual_flash,kuramoto,camera,7.759879
pi_flash,kuramoto,pi_oscillator,7.905604
virtual_flash,kuramoto,camera,8.40966
pi_flash,kuramoto,pi_oscillator,8.452391
virtual_flash,kuramoto,camera,8.935658
pi_flash,kuramoto,pi_oscillator,9.062641
virtual_flash,kuramoto,camera,9.591449
pi_flash,kuramoto,pi_oscillator,9.6296
virtual_flash,kuramoto,camera,10.133368
pi_flash,kuramoto,pi_oscillator,10.239991
virtual_flash,kuramoto,camera,10.688378
pi_flash,kuramoto,pi_oscillator,10.773491
virtual_flash,kuramoto,camera,11.352764
pi_flash,kuramoto,pi_oscillator,11.352764
virtual_flash,kuramoto,camera,11.863513
pi_flash,kuramoto,pi_oscillator,11.965102
virtual_flash,kuramoto,camera,12.393292
pi_flash,kuramoto,pi_oscillator,12.528808
virtual_flash,kuramoto,camera,12.941409
pi_flash,kuramoto,pi_oscillator,13.051996
virtual_flash,kuramoto,camera,13.478508
pi_flash,kuramoto,pi_oscillator,13.547056
virtual_flash,kuramoto,camera,14.01938
pi_flash,kuramoto,pi_oscillator,14.086979
virtual_flash,kuramoto,camera,14.563942
pi_flash,kuramoto,pi_oscillator,14.627466
virtual_flash,kuramoto,camera,15.122811
pi_flash,kuramoto,pi_oscillator,15.166103
virtual_flash,kuramoto,camera,15.655791
pi_flash,kuramoto,pi_oscillator,15.700664
virtual_flash,kuramoto,camera,16.092839
pi_flash,kuramoto,pi_oscillator,16.236391
virtual_flash,kuramoto,camera,16.632536
virtual_flash,kuramoto,camera,17.171334
pi_flash,kuramoto,pi_oscillator,17.194315
virtual_flash,kuramoto,camera,17.716377
pi_flash,kuramoto,pi_oscillator,17.756321
virtual_flash,kuramoto,camera,18.280019
pi_flash,kuramoto,pi_oscillator,18.350811
virtual_flash,kuramoto,camera,18.68696
pi_flash,kuramoto,pi_oscillator,18.872139
virtual_flash,kuramoto,camera,19.345011
virtual_flash,kuramoto,camera,19.902446
pi_flash,kuramoto,pi_oscillator,19.936205
virtual_flash,kuramoto,camera,20.43891
pi_flash,kuramoto,pi_oscillator,20.480394
virtual_flash,kuramoto,camera,20.863347
pi_flash,kuramoto,pi_oscillator,21.030073
virtual_flash,kuramoto,camera,21.404939
pi_flash,kuramoto,pi_oscillator,22.002847
virtual_flash,kuramoto,camera,22.115933
virtual_flash,kuramoto,camera,22.608
pi_flash,kuramoto,pi_oscillator,22.680298
virtual_flash,kuramoto,camera,23.024726
pi_flash,kuramoto,pi_oscillator,23.313106
virtual_flash,kuramoto,camera,23.691986
pi_flash,kuramoto,pi_oscillator,24.265611
virtual_flash,kuramoto,camera,24.364794
virtual_flash,kuramoto,camera,24.879702
pi_flash,kuramoto,pi_oscillator,24.935219
virtual_flash,kuramoto,camera,25.300264
pi_flash,kuramoto,pi_oscillator,25.548218
virtual_flash,kuramoto,camera,25.951228
pi_flash,kuramoto,pi_oscillator,26.520689
virtual_flash,kuramoto,camera,26.622165
virtual_flash,kuramoto,camera,27.158509
pi_flash,kuramoto,pi_oscillator,27.242815
virtual_flash,kuramoto,camera,27.587053
pi_flash,kuramoto,pi_oscillator,27.923697
virtual_flash,kuramoto,camera,28.342783
pi_flash,kuramoto,pi_oscillator,28.943229
virtual_flash,kuramoto,camera,29.055056
virtual_flash,kuramoto,camera,29.517485
pi_flash,kuramoto,pi_oscillator,29.672041
