event,model,source,t_s
pi_flash,kuramoto,pi_oscillator,0.420111
virtual_flash,kuramoto,camera,1.016607
pi_flash,kuramoto,pi_oscillator,1.572638
virtual_flash,kuramoto,camera,1.886091
pi_flash,kuramoto,pi_oscillator,2.170462
virtual_flash,kuramoto,camera,2.326929
virtual_flash,kuramoto,camera,2.751468
pi_flash,kuramoto,pi_oscillator,3.050842
virtual_flash,kuramoto,camera,3.400699
pi_flash,kuramoto,pi_oscillator,3.956801
virtual_flash,kuramoto,camera,4.156166
pi_flash,kuramoto,pi_oscillator,4.812599
virtual_flash,kuramoto,camera,5.041058
pi_flash,kuramoto,pi_oscillator,5.753327
virtual_flash,kuramoto,camera,5.861392
virtual_flash,kuramoto,camera,6.23185
virtual_flash,kuramoto,camera,6.883242
pi_flash,kuramoto,pi_oscillator,6.883242
virtual_flash,kuramoto,camera,7.541764
pi_flash,kuramoto,pi_oscillator,7.541764
virtual_flash,kuramoto,camera,8.073509
pi_flash,kuramoto,pi_oscillator,8.173422
virtual_flash,kuramoto,camera,8.718213
pi_flash,kuramoto,pi_oscillator,8.753654
virtual_flash,kuramoto,camera,9.264769
pi_flash,kuramoto,pi_oscillator,9.354364
virtual_flash,kuramoto,camera,9.817928
pi_flash,kuramoto,pi_oscillator,9.942904
virtual_flash,kuramoto,camera,10.444349
pi_flash,kuramoto,pi_oscillator,10.487723
virtual_flash,kuramoto,camera,10.993144
pi_flash,kuramoto,pi_oscillator,11.07409
virtual_flash,kuramoto,camera,11.547907
pi_flash,kuramoto,pi_oscillator,11.628165
virtual_flash,kuramoto,camera,12.099729
pi_flash,kuramoto,pi_oscillator,12.179276
virtual_flash,kuramoto,camera,12.639806
pi_flash,kuramoto,pi_oscillator,12.700812
virtual_flash,kuramoto,camera,13.175279
pi_flash,kuramoto,pi_oscillator,13.255559
virtual_flash,kuramoto,camera,13.732688
pi_flash,kuramoto,pi_oscillator,13.802911
virtual_flash,kuramoto,camera,14.264325
pi_flash,kuramoto,pi_oscillator,14.343648
virtual_flash,kuramoto,camera,14.799559
pi_flash,kuramoto,pi_oscillator,14.861667
virtual_flash,kuramoto,camera,15.341255
pi_flash,kuramoto,pi_oscillator,15.421662
virtual_flash,kuramoto,camera,15.894688
pi_flash,kuramoto,pi_oscillator,15.934659
virtual_flash,kuramoto,camera,16.434042
pi_flash,kuramoto,pi_oscillator,16.494641
virtual_flash,kuramoto,camera,16.975565
pi_flash,kuramoto,pi_oscillator,17.044612
virtual_flash,kuramoto,camera,17.500284
pi_flash,kuramoto,pi_oscillator,17.580264
virtual_flash,kuramoto,camera,18.050912
pi_flash,kuramoto,pi_oscillator,18.090899
virtual_flash,kuramoto,camera,18.608074
pi_flash,kuramoto,pi_oscillator,18.642984
virtual_flash,kuramoto,camera,19.035118
pi_flash,kuramoto,pi_oscillator,19.190323
virtual_flash,kuramoto,camera,19.697608
virtual_flash,kuramoto,camera,20.240934
pi_flash,kuramoto,pi_oscillator,20.276437
virtual_flash,kuramoto,camera,20.783582
pi_flash,kuramoto,pi_oscillator,20.836055
virtual_flash,kuramoto,camera,21.319686
pi_flash,kuramoto,pi_oscillator,21.389738
virtual_flash,kuramoto,camera,21.839708
pi_flash,kuramoto,pi_oscillator,21.930981
virtual_flash,kuramoto,camera,22.400058
pi_flash,kuramoto,pi_oscillator,22.439771
virtual_flash,kuramoto,camera,22.935338
pi_flash,kuramoto,pi_oscillator,23.003924
virtual_flash,kuramoto,camera,23.495371
pi_flash,kuramoto,pi_oscillator,23.52771
virtual_flash,kuramoto,camera,24.018693
pi_flash,kuramoto,pi_oscillator,24.084451
virtual_flash,kuramoto,camera,24.582694
pi_flash,kuramoto,pi_oscillator,24.615943
virtual_flash,kuramoto,camera,25.110677
pi_flash,kuramoto,pi_oscillator,25.17662
virtual_flash,kuramoto,camera,25.673482
pi_flash,kuramoto,pi_oscillator,25.706985
virtual_flash,kuramoto,camera,26.200426
pi_flash,kuramoto,pi_oscillator,26.266286
virtual_flash,kuramoto,camera,26.760112
pi_flash,kuramoto,pi_oscillator,26.792631
virtual_flash,kuramoto,camera,27.295361
pi_flash,kuramoto,pi_oscillator,27.362639
virtual_flash,kuramoto,camera,27.729688
pi_flash,kuramoto,pi_oscillator,27.906509
virtual_flash,kuramoto,camera,28.374103
virtual_flash,kuramoto,camera,28.915984
pi_flash,kuramoto,pi_oscillator,28.915984
virtual_flash,kuramoto,camera,29.48244
pi_flash,kuramoto,pi_oscillator,29.500684
virtual_flash,kuramoto,camera,29.9103
