K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
5.0,0,-0.162295884,-0.98361142,0.033,0.82151252,0,0,0,1.217266902,2.0,0.5,5.129231345,0.85052952,0.598135174,0.252394346,0.252394346,0,0.033149,frequency_step_gt_0.5hz,-1.752089136
5.0,0,-0.164970228,-0.999819564,0.033,0.830310401,0,0,0,1.204368871,1.217266902,0.5,5.543921575,1.100249522,0.85052952,0.249720002,0.249720002,0,0.06643,,-1.589793252
5.0,0,-0.163245192,-0.989364802,0.033,0.824614066,0,0,0,1.212688506,1.204368871,0.5,5.958611806,1.35169456,1.100249522,0.251445038,0.251445038,0,0.099668,,-1.424823024
5.0,0,-0.157174328,-0.952571684,0.033,0.805174023,0,0,0,1.241967539,1.212688506,0.5,0.090116729,1.609210463,1.35169456,0.257515902,0.257515902,0,0.133075,,-1.261577831
5.0,0,-0.147377361,-0.893196125,0.033,0.775664544,0,0,0,1.289217108,1.241967539,0.5,0.504806959,1.876523332,1.609210463,0.26731287,0.26731287,0,0.166622,,-1.104403504
5.0,0,-0.134884593,-0.817482382,0.033,0.741032658,0,0,0,1.34946819,1.289217108,0.5,0.919497189,2.156328969,1.876523332,0.279805637,0.279805637,0,0.19981,,-0.957026143
5.0,0,-0.120879852,-0.732605163,0.033,0.705710657,0,0,0,1.417011335,1.34946819,0.5,1.33418742,2.450139348,2.156328969,0.293810378,0.293810378,0,0.233319,,-0.82214155
5.0,0,-0.106455059,-0.645182174,0.033,0.672684801,0,0,0,1.486580339,1.417011335,0.5,1.74887765,2.758374519,2.450139348,0.308235172,0.308235172,0,0.266864,,-0.701261698
5.0,0,-0.092457521,-0.560348613,0.033,0.643463898,0,0,0,1.554088742,1.486580339,0.5,2.16356788,3.080607229,2.758374519,0.322232709,0.322232709,0,0.300003,,-0.594806639
5.0,0,-0.07944515,-0.481485759,0.033,0.618488167,0,0,0,1.616845807,1.554088742,0.5,2.57825811,3.415852309,3.080607229,0.33524508,0.33524508,0,0.333656,,-0.502349118
5.0,0,-0.067717701,-0.410410311,0.033,0.597583664,0,0,0,1.673405852,1.616845807,0.5,2.992948341,3.762824838,3.415852309,0.346972529,0.346972529,0,0.36696,,-0.422903968
5.0,0,-0.057381227,-0.347765011,0.033,0.580296363,0,0,0,1.723257397,1.673405852,0.5,3.407638571,4.120133841,3.762824838,0.357309003,0.357309003,0,0.400061,,-0.355186267
5.0,0,-0.048414724,-0.293422571,0.033,0.566090584,0,0,0,1.766501737,1.723257397,0.5,3.822328801,4.486409347,4.120133841,0.366275506,0.366275506,0,0.433455,,-0.29780504
5.0,0,-0.040724175,-0.246813182,0.033,0.554449026,0,0,0,1.80359231,1.766501737,0.5,4.237019031,4.860375402,4.486409347,0.373966055,0.373966055,0,0.46698,,-0.249390316
5.0,0,-0.034180601,-0.207155159,0.033,0.544914239,0,0,0,1.835151162,1.80359231,0.5,4.651709262,5.240885031,4.860375402,0.380509629,0.380509629,0,0.500404,,-0.20866614
