t_s,detected_state,leader_flash_event,brightness_used,signal_norm,camera_ms
7e-06,0,0,103.0,0.0,1057.83
1.057928,0,0,118.67,0.0,72.19
1.130207,0,0,106.33,0.0,77.83
1.208112,0,0,111.0,0.0,100.81
1.308991,0,0,105.67,0.0,100.15
1.409218,0,0,108.33,0.0,100.06
1.509354,0,0,129.67,0.0,88.83
1.598259,0,0,130.0,0.0,81.53
1.679858,0,0,130.0,0.0,88.41
1.76834,0,0,105.33,0.0094,100.98
1.869394,0,0,109.0,0.1488,100.77
1.970228,0,0,112.33,0.2831,92.01
2.062307,1,1,130.0,1.0,82.87
2.145306,1,0,129.67,0.9866,83.82
2.229249,0,0,109.0,0.144,95.76
2.325128,0,0,105.0,0.0,100.21
2.425454,0,0,108.67,0.14,115.09
2.540678,1,1,129.0,0.9596,70.43
2.611294,1,0,129.0,0.9596,80.11
2.691617,1,0,129.0,0.9595,91.63
2.783411,0,0,105.0,0.0,100.86
2.884426,0,0,108.33,0.1322,99.69
2.984271,0,0,116.33,0.453,90.76
3.07519,1,1,130.0,1.0,81.42
3.156824,1,0,129.33,0.9731,89.91
3.246898,0,0,106.0,0.0336,100.28
3.347345,0,0,106.0,0.0323,100.65
3.448171,0,0,108.67,0.1388,94.92
3.54326,1,1,129.67,0.9867,83.89
3.627368,1,0,128.67,0.9462,82.1
3.709643,0,0,113.67,0.3381,96.42
3.806235,0,0,104.67,0.0,100.01
3.90641,0,0,108.33,0.1313,96.99
4.003578,1,1,128.33,0.9367,85.37
4.089173,1,0,127.33,0.8974,77.84
4.167197,1,0,129.0,0.9662,85.71
4.253088,0,0,107.0,0.0732,97.64
4.35091,0,0,107.0,0.0721,101.15
4.452248,0,0,108.33,0.1253,90.98
4.543413,1,1,129.0,0.9712,82.0
4.625636,1,0,129.0,0.9725,81.64
4.70748,1,0,115.33,0.41,95.21
4.802873,0,0,104.0,0.0,100.22
4.903292,0,0,108.33,0.1315,98.34
5.001828,1,1,128.33,0.9447,85.39
5.087451,1,0,127.0,0.8897,78.35
5.166018,1,0,129.0,0.9723,85.18
5.251396,0,0,107.33,0.0744,97.86
5.349452,0,0,106.33,0.0316,99.78
5.449437,0,0,108.67,0.1275,92.85
5.542493,1,1,129.0,0.9721,82.18
5.624916,1,0,129.0,0.9721,81.73
5.706842,1,0,116.0,0.4296,95.52
5.802561,0,0,104.33,0.0,100.36
5.903134,0,0,108.0,0.1059,97.58
6.000923,1,1,128.33,0.9446,86.96
6.088132,1,0,127.0,0.8897,77.43
