t_s,event_type
1.057928,follower_flash
1.308991,follower_flash
1.76834,follower_flash
2.062307,leader_flash
2.229249,follower_flash
2.540678,leader_flash
2.611294,follower_flash
3.07519,leader_flash
3.07519,follower_flash
3.54326,leader_flash
3.54326,follower_flash
3.90641,follower_flash
4.003578,leader_flash
4.35091,follower_flash
4.543413,leader_flash
4.802873,follower_flash
5.001828,leader_flash
5.349452,follower_flash
5.542493,leader_flash
5.802561,follower_flash
6.000923,leader_flash
6.251555,follower_flash
6.542244,leader_flash
6.706817,follower_flash
7.00108,leader_flash
7.16567,follower_flash
7.541992,leader_flash
7.624631,follower_flash
8.000787,leader_flash
8.087105,follower_flash
8.541705,leader_flash
8.541705,follower_flash
9.000174,leader_flash
9.000174,follower_flash
9.448418,follower_flash
9.541855,leader_flash
10.000238,leader_flash
10.000238,follower_flash
10.448392,follower_flash
10.541864,leader_flash
10.903937,follower_flash
11.001667,leader_flash
11.447925,follower_flash
11.541429,leader_flash
11.901577,follower_flash
11.999905,leader_flash
12.454415,follower_flash
12.545778,leader_flash
12.897629,follower_flash
12.99639,leader_flash
13.351039,follower_flash
13.451545,follower_flash
13.54425,leader_flash
13.904308,follower_flash
14.001754,leader_flash
14.447839,follower_flash
14.541879,leader_flash
14.902777,follower_flash
15.00065,leader_flash
15.446923,follower_flash
15.541098,leader_flash
15.901228,follower_flash
15.999277,leader_flash
16.454273,follower_flash
16.546004,leader_flash
16.896829,follower_flash
16.996461,leader_flash
17.451857,follower_flash
17.544502,leader_flash
17.904298,follower_flash
18.001915,leader_flash
18.44719,follower_flash
18.540661,leader_flash
18.901179,follower_flash
18.998701,leader_flash
19.45347,follower_flash
19.545362,leader_flash
19.895914,follower_flash
19.995235,leader_flash
20.449884,follower_flash
20.543548,leader_flash
20.90308,follower_flash
21.000564,leader_flash
21.44648,follower_flash
21.539544,leader_flash
21.899116,follower_flash
21.997628,leader_flash
22.452894,follower_flash
22.544574,leader_flash
22.902908,follower_flash
23.000588,leader_flash
23.44619,follower_flash
23.538981,leader_flash
23.897818,follower_flash
23.997247,leader_flash
24.452203,follower_flash
24.544134,leader_flash
24.902612,follower_flash
25.000269,leader_flash
25.45261,follower_flash
25.544404,leader_flash
25.902593,follower_flash
26.000319,leader_flash
26.452375,follower_flash
26.544147,leader_flash
26.902024,follower_flash
26.999857,leader_flash
27.452185,follower_flash
27.544103,leader_flash
27.99951,leader_flash
27.99951,follower_flash
28.452231,follower_flash
28.544057,leader_flash
28.999646,leader_flash
28.999646,follower_flash
29.451902,follower_flash
29.544282,leader_flash
29.999267,leader_flash
29.999267,follower_flash
