t_s,agent_id,model,phase,frequency_hz,is_firing
1.38,0,kuramoto,5.409511,1.5,0
1.39,0,kuramoto,5.533663,1.5,0
1.4,0,kuramoto,5.657817,1.5,0
1.41,0,kuramoto,5.781972,1.5,0
1.42,0,kuramoto,5.906128,1.5,0
1.43,0,kuramoto,6.030286,1.5,0
1.44,0,kuramoto,6.154445,1.5,0
1.45,0,kuramoto,6.278605,1.5,0
1.46,0,kuramoto,0.119581,1.5,1
1.47,0,kuramoto,0.243743,1.5,0
1.48,0,kuramoto,0.367906,1.5,0
1.49,0,kuramoto,0.49207,1.5,0
1.5,0,kuramoto,0.616235,1.5,0
1.51,0,kuramoto,0.740401,1.5,0
1.52,0,kuramoto,0.864567,1.5,0
1.53,0,kuramoto,0.988734,1.5,0
1.54,0,kuramoto,1.112902,1.5,0
1.55,0,kuramoto,1.23707,1.5,0
1.56,0,kuramoto,1.361238,1.5,0
1.57,0,kuramoto,1.485408,1.5,0
1.58,0,kuramoto,1.609577,1.5,0
1.59,0,kuramoto,1.733748,1.5,0
1.6,0,kuramoto,1.857918,1.5,0
1.61,0,kuramoto,1.982089,1.5,0
1.62,0,kuramoto,2.106261,1.5,0
1.63,0,kuramoto,2.230433,1.5,0
1.64,0,kuramoto,2.354605,1.5,0
1.65,0,kuramoto,2.478777,1.5,0
1.66,0,kuramoto,2.60295,1.5,0
1.67,0,kuramoto,2.727123,1.5,0
1.68,0,kuramoto,2.851296,1.5,0
1.69,0,kuramoto,2.97547,1.5,0
1.7,0,kuramoto,3.099644,1.5,0
1.71,0,kuramoto,3.223818,1.5,0
1.72,0,kuramoto,3.347992,1.5,0
1.73,0,kuramoto,3.472166,1.5,0
1.74,0,kuramoto,3.596341,1.5,0
1.75,0,kuramoto,3.720515,1.5,0
1.76,0,kuramoto,3.84469,1.5,0
1.77,0,kuramoto,3.968865,1.5,0
1.78,0,kuramoto,4.093041,1.5,0
1.79,0,kuramoto,4.217216,1.5,0
1.8,0,kuramoto,4.341391,1.5,0
1.81,0,kuramoto,4.465567,1.5,0
1.82,0,kuramoto,4.589742,1.5,0
1.83,0,kuramoto,4.713918,1.5,0
1.84,0,kuramoto,4.838094,1.5,0
1.85,0,kuramoto,4.96227,1.5,0
1.86,0,kuramoto,5.086446,1.5,0
1.87,0,kuramoto,5.210622,1.5,0
1.88,0,kuramoto,5.334798,1.5,0
1.89,0,kuramoto,5.458975,1.5,0
1.9,0,kuramoto,5.583151,1.5,0
1.91,0,kuramoto,5.707327,1.5,0
1.92,0,kuramoto,5.831504,1.5,0
1.93,0,kuramoto,5.95568,1.5,0
1.94,0,kuramoto,6.079857,1.5,0
1.95,0,kuramoto,6.204033,1.5,0
1.96,0,kuramoto,0.045025,1.5,1
1.97,0,kuramoto,0.169201,1.5,0
1.98,0,kuramoto,0.293378,1.5,0
1.99,0,kuramoto,0.417555,1.5,0
2.0,0,kuramoto,0.541732,1.5,0
2.01,0,kuramoto,0.665908,1.5,0
2.02,0,kuramoto,0.790085,1.5,0
2.03,0,kuramoto,0.914262,1.5,0
2.04,0,kuramoto,1.038439,1.5,0
2.05,0,kuramoto,1.162616,1.5,0
2.06,0,kuramoto,1.286793,1.5,0
2.07,0,kuramoto,1.41097,1.5,0
2.08,0,kuramoto,1.535147,1.5,0
2.09,0,kuramoto,1.659324,1.5,0
2.1,0,kuramoto,1.783501,1.5,0
2.11,0,kuramoto,1.907678,1.5,0
2.12,0,kuramoto,2.031855,1.5,0
2.13,0,kuramoto,2.156032,1.5,0
2.14,0,kuramoto,2.280209,1.5,0
2.15,0,kuramoto,2.404386,1.5,0
2.16,0,kuramoto,2.528564,1.5,0
2.17,0,kuramoto,2.652741,1.5,0
2.18,0,kuramoto,2.776918,1.5,0
2.19,0,kuramoto,2.901095,1.5,0
2.2,0,kuramoto,3.025272,1.5,0
2.21,0,kuramoto,3.149449,1.5,0
2.22,0,kuramoto,3.273627,1.5,0
2.23,0,kuramoto,3.397804,1.5,0
2.24,0,kuramoto,3.521981,1.5,0
2.25,0,kuramoto,3.646158,1.5,0
2.26,0,kuramoto,3.770335,1.5,0
2.27,0,kuramoto,3.894513,1.5,0
2.28,0,kuramoto,4.01869,1.5,0
2.29,0,kuramoto,4.142867,1.5,0
2.3,0,kuramoto,4.267044,1.5,0
2.31,0,kuramoto,4.391222,1.5,0
2.32,0,kuramoto,4.515399,1.5,0
2.33,0,kuramoto,4.639576,1.5,0
2.34,0,kuramoto,4.763753,1.5,0
2.35,0,kuramoto,4.887931,1.5,0
2.36,0,kuramoto,5.012108,1.5,0
2.37,0,kuramoto,5.136285,1.5,0
2.38,0,kuramoto,5.260463,1.5,0
2.39,0,kuramoto,5.38464,1.5,0
2.4,0,kuramoto,5.508817,1.5,0
2.41,0,kuramoto,5.632994,1.5,0
2.42,0,kuramoto,5.757172,1.5,0
2.43,0,kuramoto,5.881349,1.5,0
2.44,0,kuramoto,6.005526,1.5,0
2.45,0,kuramoto,6.129704,1.5,0
2.46,0,kuramoto,6.253881,1.5,0
2.47,0,kuramoto,0.094873,1.5,1
2.48,0,kuramoto,0.21905,1.5,0
2.49,0,kuramoto,0.343228,1.5,0
2.5,0,kuramoto,0.467405,1.5,0
2.51,0,kuramoto,0.591582,1.5,0
2.52,0,kuramoto,0.71576,1.5,0
2.53,0,kuramoto,0.839937,1.5,0
2.54,0,kuramoto,0.964114,1.5,0
2.55,0,kuramoto,1.088292,1.5,0
2.56,0,kuramoto,1.212469,1.5,0
2.57,0,kuramoto,1.336646,1.5,0
2.58,0,kuramoto,1.460823,1.5,0
2.59,0,kuramoto,1.585001,1.5,0
2.6,0,kuramoto,1.709178,1.5,0
2.61,0,kuramoto,1.833355,1.5,0
2.62,0,kuramoto,1.957533,1.5,0
2.63,0,kuramoto,2.08171,1.5,0
2.64,0,kuramoto,2.205887,1.5,0
2.65,0,kuramoto,2.330065,1.5,0
2.66,0,kuramoto,2.454242,1.5,0
2.67,0,kuramoto,2.578419,1.5,0
2.68,0,kuramoto,2.702597,1.5,0
2.69,0,kuramoto,2.826774,1.5,0
2.7,0,kuramoto,2.950951,1.5,0
2.71,0,kuramoto,3.075129,1.5,0
2.72,0,kuramoto,3.199306,1.5,0
2.73,0,kuramoto,3.323483,1.5,0
2.74,0,kuramoto,3.447661,1.5,0
2.75,0,kuramoto,3.571838,1.5,0
2.76,0,kuramoto,3.696015,1.5,0
2.77,0,kuramoto,3.820193,1.5,0
2.78,0,kuramoto,3.94437,1.5,0
2.79,0,kuramoto,4.068547,1.5,0
2.8,0,kuramoto,4.192725,1.5,0
2.81,0,kuramoto,4.316902,1.5,0
2.82,0,kuramoto,4.441079,1.5,0
2.83,0,kuramoto,4.565257,1.5,0
2.84,0,kuramoto,4.689434,1.5,0
2.85,0,kuramoto,4.813611,1.5,0
2.86,0,kuramoto,4.937789,1.5,0
2.87,0,kuramoto,5.061966,1.5,0
2.88,0,kuramoto,5.186143,1.5,0
2.89,0,kuramoto,5.310321,1.5,0
2.9,0,kuramoto,5.434498,1.5,0
2.91,0,kuramoto,5.558675,1.5,0
2.92,0,kuramoto,5.682853,1.5,0
2.93,0,kuramoto,5.80703,1.5,0
2.94,0,kuramoto,5.931207,1.5,0
2.95,0,kuramoto,6.055385,1.5,0
2.96,0,kuramoto,6.179562,1.5,0
2.97,0,kuramoto,0.020554,1.5,1
2.98,0,kuramoto,0.144731,1.5,0
2.99,0,kuramoto,0.268909,1.5,0
3.0,0,kuramoto,0.393086,1.5,0
3.01,0,kuramoto,0.517263,1.5,0
3.02,0,kuramoto,0.641441,1.5,0
3.03,0,kuramoto,0.765618,1.5,0
3.04,0,kuramoto,0.889795,1.5,0
3.05,0,kuramoto,1.013973,1.5,0
3.06,0,kuramoto,1.13815,1.5,0
3.07,0,kuramoto,1.262328,1.5,0
3.08,0,kuramoto,1.386505,1.5,0
3.09,0,kuramoto,1.510682,1.5,0
3.1,0,kuramoto,1.63486,1.5,0
3.11,0,kuramoto,1.759037,1.5,0
3.12,0,kuramoto,1.883214,1.5,0
3.13,0,kuramoto,2.007392,1.5,0
3.14,0,kuramoto,2.131569,1.5,0
3.15,0,kuramoto,2.255746,1.5,0
3.16,0,kuramoto,2.379924,1.5,0
3.17,0,kuramoto,2.504101,1.5,0
3.18,0,kuramoto,2.628278,1.5,0
3.19,0,kuramoto,2.752456,1.5,0
3.2,0,kuramoto,2.876633,1.5,0
3.21,0,kuramoto,3.00081,1.5,0
3.22,0,kuramoto,3.124988,1.5,0
3.23,0,kuramoto,3.249165,1.5,0
