accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,0,0.0,1.0,0.0,V1,82.0,82.0,local_contrast,False,,0,0.7345208829992771,0.0,,8,121.0,,0.35,0.65,82.0,0.6165,0.35,0.65,0.0,0.0,82.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,147.91,132.0,214.0,0.0,0.0,0.0,V1,OFF,0.715353,120.0,180.0,10013.944124263,214.0,True
False,0,0.0,1.0,0.0,V0,23.0,23.0,local_contrast,False,,0,0.7679044929991505,0.0,,9,115.39,,0.35,0.65,23.0,0.2054,0.35,0.65,0.0,0.0,23.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,111.59,111.0,134.0,0.0,0.0,0.0,V0,OFF,0.74811,120.0,180.0,10013.977507873,134.0,True
False,0,0.0,1.0,0.0,V1,83.0,83.0,local_contrast,False,,0,0.7679044929991505,0.0,,9,115.39,,0.35,0.65,83.0,0.6484,0.35,0.65,0.0,0.0,83.0,False,0,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,143.1,127.0,210.0,0.0,0.0,0.0,V1,OFF,0.74811,120.0,180.0,10013.977507873,210.0,True
False,0,40.2,63.1,22.9,V0,23.0,23.0,local_contrast,False,,0,0.8011798249990534,0.0,,10,111.28,,0.35,0.65,23.0,0.213,0.35,0.65,0.0025,0.0,23.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,107.51,107.0,130.0,0.0,0.0025,0.9571,V0,OFF,0.781525,120.0,180.0,10014.010783205,130.0,True
True,1,70.9,86.8,15.9,V1,86.0,86.0,local_contrast,False,,0,0.8011798249990534,0.0,leader_rising_edge,10,111.28,10014.010783205,0.35,0.65,86.0,0.6992,0.35,0.65,0.9887,0.0,86.0,True,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,139.59,122.0,208.0,0.0,0.9887,0.8975,V1,ON,0.781525,120.0,180.0,10014.010783205,208.0,True
False,0,40.0,63.0,23.0,V0,23.0,23.0,local_contrast,False,,0,0.8345366389985429,0.0,,11,107.78,,0.35,0.65,23.0,0.2212,0.35,0.65,0.0,0.0,23.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,103.63,103.0,126.0,0.0,0.0,0.9524,V0,OFF,0.81532,120.0,180.0,10014.044140019,126.0,True
False,1,73.0,89.0,16.0,V1,89.0,89.0,local_contrast,False,,0,0.8345366389985429,0.0,,11,107.78,10014.010783205,0.35,0.65,89.0,0.7479,0.35,0.65,1.0,0.0,89.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,136.51,118.0,207.0,0.0,1.0,0.9241,V1,ON,0.81532,120.0,180.0,10014.044140019,207.0,True
False,0,39.9,62.9,23.0,V0,23.0,23.0,local_contrast,False,,0,0.8678750259987282,0.0,,12,105.5,,0.35,0.65,23.0,0.2277,0.35,0.65,0.0,0.0,23.0,False,0,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,101.3,100.0,123.0,0.0,0.0,0.95,V0,OFF,0.848697,120.0,180.0,10014.077478406,123.0,True
False,1,70.4,90.8,20.4,V1,91.0,91.0,local_contrast,False,,0,0.8678750259987282,0.0,,12,105.5,10014.010783205,0.35,0.65,91.0,0.7845,0.35,0.65,1.0,0.0,91.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,134.5,115.0,206.0,0.0,1.0,0.8911,V1,ON,0.848697,120.0,180.0,10014.077478406,206.0,True
True,1,40.8,63.8,23.0,V0,65.0,65.0,local_contrast,False,,0,0.9678703179997683,0.0,leader_rising_edge,13,98.86,10014.177473698,0.35,0.65,65.0,0.4815,0.35,0.65,1.0,0.0,65.0,True,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,146.87,134.0,199.0,0.0,1.0,0.9488,V0,ON,0.963492,120.0,180.0,10014.177473698,199.0,True
