agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,2,1,2.347068,0.644034,0,1,virtual,3e-06,all_to_all
V1,1,0,1.808829,4.854196,0,2,virtual,3e-06,all_to_all
P0,0,0,1.68112,3.845354,,0,pi,3e-06,all_to_all
V0,2,1,2.347068,2.502219,1,2,virtual,0.42238,all_to_all
V1,2,1,1.828145,0.174771,1,3,virtual,0.42238,all_to_all
P0,1,1,1.68112,2.023648,,0,pi,0.42238,all_to_all
V0,2,0,2.338706,4.31516,1,3,virtual,0.648393,all_to_all
V1,2,1,1.848558,1.803254,1,3,virtual,0.648393,all_to_all
P0,1,0,1.68112,4.410974,,0,pi,0.648393,all_to_all
V0,3,1,2.30566,1.604333,1,3,virtual,0.848697,all_to_all
V1,2,0,1.883963,5.108737,1,4,virtual,0.848697,all_to_all
P0,2,1,1.68112,0.260663,,0,pi,0.848697,all_to_all
V0,3,1,2.287271,3.480284,2,5,virtual,1.049049,all_to_all
V1,3,1,1.904466,0.519951,2,5,virtual,1.049049,all_to_all
P0,2,0,1.68112,2.404305,,0,pi,1.049049,all_to_all
V0,4,1,2.262979,0.038616,2,5,virtual,1.249353,all_to_all
V1,3,1,1.940862,3.139675,2,5,virtual,1.249353,all_to_all
P0,2,0,1.698116,4.501105,,0,pi,1.249353,all_to_all
V0,4,0,2.235932,3.834876,2,5,virtual,1.449619,all_to_all
V1,4,1,1.992363,0.197996,2,6,virtual,1.449619,all_to_all
P0,3,1,1.744915,0.307404,,0,pi,1.449619,all_to_all
V0,4,0,2.214809,6.269003,3,7,virtual,1.682468,all_to_all
V1,4,1,2.014432,2.208911,3,7,virtual,1.682468,all_to_all
P0,3,0,1.812603,2.902282,,1,pi,1.682468,all_to_all
V0,5,1,2.185637,2.931443,3,7,virtual,1.882681,all_to_all
V1,4,0,2.028094,4.588581,3,8,virtual,1.882681,all_to_all
P0,3,0,1.880547,5.243325,,0,pi,1.882681,all_to_all
V0,5,0,2.157475,5.815512,4,9,virtual,2.087451,all_to_all
V1,5,1,2.034831,0.688558,4,9,virtual,2.087451,all_to_all
P0,4,0,1.913156,1.401881,,0,pi,2.087451,all_to_all
V0,5,0,2.123099,2.77404,4,9,virtual,2.316133,all_to_all
V1,5,0,2.037333,3.487912,4,9,virtual,2.316133,all_to_all
P0,4,0,1.947401,4.150965,,0,pi,2.316133,all_to_all
V0,6,1,2.08269,0.484146,5,11,virtual,2.623947,all_to_all
V1,6,1,2.037515,0.835173,5,11,virtual,2.623947,all_to_all
P0,5,0,1.958506,1.587258,,0,pi,2.623947,all_to_all
V0,6,0,2.058456,3.503941,5,11,virtual,2.850295,all_to_all
V1,6,0,2.033846,3.707041,5,11,virtual,2.850295,all_to_all
P0,5,0,1.967222,4.377707,,0,pi,2.850295,all_to_all
V0,7,1,2.033244,1.02471,6,13,virtual,3.137206,all_to_all
V1,7,1,2.027484,1.142647,6,13,virtual,3.137206,all_to_all
P0,6,0,1.968133,1.710971,,0,pi,3.137206,all_to_all
V0,7,0,2.016983,3.533767,6,13,virtual,3.350448,all_to_all
V1,7,0,2.022951,3.638825,6,13,virtual,3.350448,all_to_all
P0,6,0,1.968188,4.304262,,0,pi,3.350448,all_to_all
V0,8,1,1.995267,0.956528,7,15,virtual,3.651671,all_to_all
V1,8,1,2.016286,1.093553,7,15,virtual,3.651671,all_to_all
P0,7,0,1.968867,1.565482,,0,pi,3.651671,all_to_all
V0,8,0,1.985151,3.408036,7,15,virtual,3.884241,all_to_all
V1,8,0,2.009814,3.567164,7,15,virtual,3.884241,all_to_all
P0,7,0,1.965631,4.204325,,0,pi,3.884241,all_to_all
V0,9,1,1.973767,0.777984,8,17,virtual,4.186315,all_to_all
V1,9,1,1.999752,0.965495,8,17,virtual,4.186315,all_to_all
P0,8,0,1.955822,1.360878,,0,pi,4.186315,all_to_all
V0,9,0,1.96573,4.012294,8,17,virtual,4.417887,all_to_all
V1,9,0,1.989382,4.193251,8,17,virtual,4.417887,all_to_all
P0,8,0,1.944997,3.917214,,0,pi,4.417887,all_to_all
V0,10,1,1.957638,1.346353,9,19,virtual,4.650478,all_to_all
V1,10,1,1.978274,1.506212,9,19,virtual,4.650478,all_to_all
P0,9,1,1.935803,0.23447,,0,pi,4.650478,all_to_all
V0,10,1,1.954224,2.537835,9,19,virtual,4.851517,all_to_all
V1,10,1,1.974931,2.697401,9,19,virtual,4.851517,all_to_all
