agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
P0,pi_flash,1.68112,,,,2.023648,,,,0.42238
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.42238,0.42238
V1,pi_detected_virtual_flash,,,1,0.9887,,86.0,1,,0.781525
P0,pi_flash,1.68112,,,,0.260663,,,,0.848697
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,0.848697,0.848697
V0,pi_detected_virtual_flash,,,1,1.0,,65.0,0,,0.963492
V1,pi_detected_virtual_flash,,,1,0.9424,,85.0,1,,1.148937
V0,pi_detected_virtual_flash,,,1,0.9535,,64.0,0,,1.382604
P0,pi_flash,1.744915,,,,0.307404,,,,1.449619
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.449619,1.449619
V1,pi_detected_virtual_flash,,,1,0.9632,,89.0,1,,1.682468
V0,pi_detected_virtual_flash,,,1,0.9767,,65.0,0,,1.924184
P0,pi_flash,1.905971,,,,0.150833,,,,1.982871
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,1.982871,1.982871
V1,pi_detected_virtual_flash,,,1,0.8462,,79.0,1,,2.216056
P0,pi_flash,1.95753,,,,0.267082,,,,2.515891
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,2.515891,2.515891
V1,pi_detected_virtual_flash,,,1,0.8077,,76.0,1,,2.656994
V0,pi_detected_virtual_flash,,,1,0.8214,,57.5,0,,2.783446
P0,pi_flash,1.968227,,,,0.202349,,,,3.01627
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.01627,3.01627
V0,pi_detected_virtual_flash,,,1,0.7601,,55.0,0,,3.205591
V1,pi_detected_virtual_flash,,,1,0.8692,,80.0,1,,3.205591
P0,pi_flash,1.968756,,,,0.337721,,,,3.550116
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,3.550116,3.550116
V1,pi_detected_virtual_flash,,,1,0.6745,,64.0,1,,3.716614
V0,pi_detected_virtual_flash,,,1,0.7494,,55.0,0,,3.750989
P0,pi_flash,1.957317,,,,0.136129,,,,4.083444
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,4.083444,4.083444
V0,pi_detected_virtual_flash,,,1,0.7381,,54.0,0,,4.283863
V1,pi_detected_virtual_flash,,,1,0.8701,,79.0,1,,4.283863
P0,pi_flash,1.935803,,,,0.23447,,,,4.650478
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,4.650478,4.650478
V0,pi_detected_virtual_flash,,,1,0.6905,,52.0,0,,4.817379
V1,pi_detected_virtual_flash,,,1,0.8147,,74.0,1,,4.817379
P0,pi_flash,1.918814,,,,0.013022,,,,5.187407
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,5.187407,5.187407
V0,pi_detected_virtual_flash,,,1,0.7619,,55.0,0,,5.293572
V1,pi_detected_virtual_flash,,,1,0.8933,,79.0,1,,5.293572
P0,pi_flash,1.910021,,,,0.395874,,,,5.751092
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,5.751092,5.751092
V0,pi_detected_virtual_flash,,,1,0.6905,,52.0,0,,5.884462
V1,pi_detected_virtual_flash,,,1,0.7483,,67.0,1,,5.884462
P0,pi_flash,1.901733,,,,0.239698,,,,6.284507
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,6.284507,6.284507
V0,pi_detected_virtual_flash,,,1,0.7561,,54.0,0,,6.386509
V1,pi_detected_virtual_flash,,,1,0.9384,,79.0,1,,6.386509
P0,pi_flash,1.897815,,,,0.17443,,,,6.818148
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,6.818148,6.818148
V1,pi_detected_virtual_flash,,,1,0.9884,,80.0,1,,6.925798
V0,pi_detected_virtual_flash,,,1,0.7789,,54.0,0,,6.985472
P0,pi_flash,1.892087,,,,0.057468,,,,7.351547
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,7.351547,7.351547
V0,pi_detected_virtual_flash,,,1,0.7035,,51.0,0,,7.518531
V1,pi_detected_virtual_flash,,,1,0.9265,,75.0,1,,7.518531
P0,pi_flash,1.885868,,,,0.110524,,,,7.918696
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,7.918696,7.918696
V0,pi_detected_virtual_flash,,,1,0.7632,,52.0,0,,8.051908
V1,pi_detected_virtual_flash,,,1,0.8235,,68.0,1,,8.051908
P0,pi_flash,1.881343,,,,0.138687,,,,8.485393
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,8.485393,8.485393
V0,pi_detected_virtual_flash,,,1,0.8636,,52.0,0,,8.588211
V1,pi_detected_virtual_flash,,,1,0.8507,,69.0,1,,8.588211
P0,pi_flash,1.877545,,,,0.051785,,,,9.019201
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,9.019201,9.019201
V1,pi_detected_virtual_flash,,,1,0.8806,,71.0,1,,9.12306
V0,pi_detected_virtual_flash,,,1,0.9375,,54.0,0,,9.170469
P0,pi_flash,1.874703,,,,0.308997,,,,9.585977
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,9.585977,9.585977
V0,pi_detected_virtual_flash,,,1,0.9275,,56.0,0,,9.697364
V1,pi_detected_virtual_flash,,,1,1.0,,80.0,1,,9.697364
P0,pi_flash,1.872275,,,,0.207522,,,,10.119635
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,10.119635,10.119635
V0,pi_detected_virtual_flash,,,1,0.9189,,58.0,0,,10.221272
V1,pi_detected_virtual_flash,,,1,0.9565,,78.0,1,,10.221272
P0,pi_flash,1.871519,,,,0.141657,,,,10.653233
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,10.653233,10.653233
V1,pi_detected_virtual_flash,,,1,0.8696,,72.0,1,,10.853245
V0,pi_detected_virtual_flash,,,1,0.8021,,54.0,0,,10.902792
P0,pi_flash,1.871023,,,,0.165473,,,,11.220286
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,11.220286,11.220286
