t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
1.458262,follower_flash,follower_oscillator,,1.458262,,
1.721957,leader_flash,camera,1.721957,,,
2.192865,follower_flash,follower_oscillator,1.721957,2.192865,-0.470908,
2.268886,leader_flash,camera,2.268886,,,
2.736418,leader_flash,camera,2.736418,,,
2.805468,follower_flash,follower_oscillator,2.736418,2.805468,-0.06905,
3.270508,leader_flash,camera,3.270508,,,
3.270508,follower_flash,follower_oscillator,3.270508,3.270508,0.0,
3.734371,leader_flash,camera,3.734371,,,
3.803353,follower_flash,follower_oscillator,3.734371,3.803353,-0.068982,
4.272436,leader_flash,camera,4.272436,,,
4.272436,follower_flash,follower_oscillator,4.272436,4.272436,0.0,
4.272436,sync_achieved,metrics,,,,
4.737053,leader_flash,camera,4.737053,,,
4.804014,follower_flash,follower_oscillator,4.737053,4.804014,-0.066961,
5.270439,leader_flash,camera,5.270439,,,
5.336046,follower_flash,follower_oscillator,5.270439,5.336046,-0.065607,
5.739045,leader_flash,camera,5.739045,,,
5.808425,follower_flash,follower_oscillator,5.739045,5.808425,-0.06938,
6.283855,leader_flash,camera,6.283855,,,
6.283855,follower_flash,follower_oscillator,6.283855,6.283855,0.0,
6.765531,leader_flash,camera,6.765531,,,
6.833362,follower_flash,follower_oscillator,6.765531,6.833362,-0.067831,
7.240146,leader_flash,camera,7.240146,,,
7.307776,follower_flash,follower_oscillator,7.240146,7.307776,-0.067631,
7.78349,leader_flash,camera,7.78349,,,
7.78349,follower_flash,follower_oscillator,7.78349,7.78349,0.0,
8.26709,leader_flash,camera,8.26709,,,
8.334791,follower_flash,follower_oscillator,8.26709,8.334791,-0.067701,
8.739488,leader_flash,camera,8.739488,,,
8.807277,follower_flash,follower_oscillator,8.739488,8.807277,-0.06779,
9.281376,leader_flash,camera,9.281376,,,
9.281376,follower_flash,follower_oscillator,9.281376,9.281376,0.0,
9.75893,leader_flash,camera,9.75893,,,
9.827757,follower_flash,follower_oscillator,9.75893,9.827757,-0.068826,
10.238654,leader_flash,camera,10.238654,,,
10.309877,follower_flash,follower_oscillator,10.238654,10.309877,-0.071223,
10.785693,leader_flash,camera,10.785693,,,
10.785693,follower_flash,follower_oscillator,10.785693,10.785693,0.0,
11.271805,leader_flash,camera,11.271805,,,
11.34106,follower_flash,follower_oscillator,11.271805,11.34106,-0.069255,
11.751322,leader_flash,camera,11.751322,,,
