t,event_type,source,detected_leader_flash_time,follower_flash_time,timing_error_s,wrapped_timing_error_s
0.629009,follower_flash,follower_oscillator,,0.629009,,
0.689063,leader_flash,camera,0.689063,,,
1.193257,leader_flash,camera,1.193257,,,
1.193257,follower_flash,follower_oscillator,1.193257,1.193257,0.0,
1.697691,leader_flash,camera,1.697691,,,
1.697691,follower_flash,follower_oscillator,1.697691,1.697691,0.0,
2.204471,leader_flash,camera,2.204471,,,
2.204471,follower_flash,follower_oscillator,2.204471,2.204471,0.0,
2.649601,leader_flash,camera,2.649601,,,
2.709241,follower_flash,follower_oscillator,2.649601,2.709241,-0.05964,
2.709241,sync_achieved,metrics,,,,
3.154225,leader_flash,camera,3.154225,,,
3.154225,follower_flash,follower_oscillator,3.154225,3.154225,0.0,
3.658609,leader_flash,camera,3.658609,,,
3.658609,follower_flash,follower_oscillator,3.658609,3.658609,0.0,
4.162364,leader_flash,camera,4.162364,,,
4.162364,follower_flash,follower_oscillator,4.162364,4.162364,0.0,
4.667254,leader_flash,camera,4.667254,,,
4.667254,follower_flash,follower_oscillator,4.667254,4.667254,0.0,
5.172809,leader_flash,camera,5.172809,,,
5.172809,follower_flash,follower_oscillator,5.172809,5.172809,0.0,
5.677838,leader_flash,camera,5.677838,,,
5.677838,follower_flash,follower_oscillator,5.677838,5.677838,0.0,
6.181991,leader_flash,camera,6.181991,,,
6.181991,follower_flash,follower_oscillator,6.181991,6.181991,0.0,
6.688016,leader_flash,camera,6.688016,,,
6.688016,follower_flash,follower_oscillator,6.688016,6.688016,0.0,
7.19205,leader_flash,camera,7.19205,,,
7.19205,follower_flash,follower_oscillator,7.19205,7.19205,0.0,
7.695279,leader_flash,camera,7.695279,,,
7.695279,follower_flash,follower_oscillator,7.695279,7.695279,0.0,
8.201275,leader_flash,camera,8.201275,,,
8.201275,follower_flash,follower_oscillator,8.201275,8.201275,0.0,
8.705247,leader_flash,camera,8.705247,,,
8.705247,follower_flash,follower_oscillator,8.705247,8.705247,0.0,
9.150232,leader_flash,camera,9.150232,,,
9.209869,follower_flash,follower_oscillator,9.150232,9.209869,-0.059637,
9.654355,leader_flash,camera,9.654355,,,
9.654355,follower_flash,follower_oscillator,9.654355,9.654355,0.0,
10.157799,leader_flash,camera,10.157799,,,
10.157799,follower_flash,follower_oscillator,10.157799,10.157799,0.0,
10.661291,leader_flash,camera,10.661291,,,
10.661291,follower_flash,follower_oscillator,10.661291,10.661291,0.0,
11.164805,leader_flash,camera,11.164805,,,
11.164805,follower_flash,follower_oscillator,11.164805,11.164805,0.0,
11.66754,leader_flash,camera,11.66754,,,
11.66754,follower_flash,follower_oscillator,11.66754,11.66754,0.0,
12.171809,leader_flash,camera,12.171809,,,
12.171809,follower_flash,follower_oscillator,12.171809,12.171809,0.0,
12.676276,leader_flash,camera,12.676276,,,
12.676276,follower_flash,follower_oscillator,12.676276,12.676276,0.0,
13.180777,leader_flash,camera,13.180777,,,
13.180777,follower_flash,follower_oscillator,13.180777,13.180777,0.0,
13.684053,leader_flash,camera,13.684053,,,
13.684053,follower_flash,follower_oscillator,13.684053,13.684053,0.0,
14.18766,leader_flash,camera,14.18766,,,
14.18766,follower_flash,follower_oscillator,14.18766,14.18766,0.0,
14.689507,leader_flash,camera,14.689507,,,
14.689507,follower_flash,follower_oscillator,14.689507,14.689507,0.0,
15.19421,leader_flash,camera,15.19421,,,
15.19421,follower_flash,follower_oscillator,15.19421,15.19421,0.0,
15.696133,leader_flash,camera,15.696133,,,
15.696133,follower_flash,follower_oscillator,15.696133,15.696133,0.0,
16.20195,leader_flash,camera,16.20195,,,
