t_s,event_type
0.998966,follower_flash
1.395555,follower_flash
1.891289,leader_flash
2.021425,follower_flash
2.418729,leader_flash
2.660724,follower_flash
2.892925,leader_flash
3.311601,follower_flash
3.43236,leader_flash
3.89527,leader_flash
3.967659,follower_flash
4.43048,leader_flash
4.577459,follower_flash
4.892751,leader_flash
5.119826,follower_flash
5.367953,leader_flash
5.698818,follower_flash
5.918828,leader_flash
6.318215,follower_flash
6.382809,leader_flash
6.850951,follower_flash
6.912245,leader_flash
7.378163,leader_flash
7.378163,follower_flash
7.86496,leader_flash
7.955743,follower_flash
8.403515,leader_flash
8.403515,follower_flash
8.924263,leader_flash
8.924263,follower_flash
9.425668,follower_flash
9.972756,follower_flash
10.488843,follower_flash
10.556216,leader_flash
10.942451,follower_flash
11.073553,leader_flash
11.45705,follower_flash
11.519701,leader_flash
11.519701,follower_flash
12.02662,leader_flash
12.02662,follower_flash
12.542269,leader_flash
12.542269,follower_flash
12.933771,leader_flash
13.067941,follower_flash
13.392238,leader_flash
13.52476,follower_flash
13.91733,leader_flash
14.047733,follower_flash
14.437077,leader_flash
14.498096,follower_flash
14.883903,leader_flash
15.014778,follower_flash
15.436542,leader_flash
15.49805,follower_flash
15.882361,leader_flash
15.950968,follower_flash
16.436594,leader_flash
16.436594,follower_flash
16.880768,leader_flash
16.948295,follower_flash
17.43541,leader_flash
17.43541,follower_flash
17.879607,leader_flash
17.947076,follower_flash
18.433139,leader_flash
18.433139,follower_flash
18.876549,leader_flash
18.876549,follower_flash
19.393948,leader_flash
19.393948,follower_flash
19.914327,leader_flash
19.914327,follower_flash
20.431899,leader_flash
20.431899,follower_flash
20.882094,leader_flash
20.882094,follower_flash
21.364267,follower_flash
21.432508,leader_flash
21.882233,leader_flash
21.882233,follower_flash
22.365145,follower_flash
22.433803,leader_flash
22.874899,leader_flash
22.874899,follower_flash
23.390082,leader_flash
23.390082,follower_flash
23.908618,leader_flash
23.908618,follower_flash
24.421813,leader_flash
24.421813,follower_flash
24.865237,follower_flash
24.933141,leader_flash
25.373264,leader_flash
25.373264,follower_flash
25.8871,leader_flash
25.8871,follower_flash
26.399345,leader_flash
26.399345,follower_flash
26.902824,leader_flash
26.902824,follower_flash
27.401823,leader_flash
27.401823,follower_flash
27.902305,leader_flash
27.902305,follower_flash
28.401377,leader_flash
28.401377,follower_flash
28.901998,leader_flash
28.901998,follower_flash
29.402134,leader_flash
29.402134,follower_flash
29.901318,leader_flash
29.901318,follower_flash
