t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
1.6e-05,0.00018,1.8,0.0,0,0.016
0.99492,4.969098,1.8,0.0,1,994.904
1.057987,5.682368,1.8,0.0,0,63.067
1.140898,0.336878,1.8,0.0,1,82.911
1.226355,1.303378,1.8,0.0,0,85.457
1.287369,1.993428,1.8,0.0,0,61.014
1.377191,3.009294,1.8,0.0,0,89.822
1.441483,3.736423,1.8,0.0,0,64.292
1.507423,4.482181,1.8,0.0,0,65.939
1.581484,5.319793,1.8,0.0,0,74.061
1.664931,6.263556,1.8,0.0,0,83.447
1.747737,0.916878,1.8,0.0,1,82.805
1.823113,1.769361,1.8,0.0,0,75.376
1.891781,2.53891,1.8,-1.769361,0,68.669
1.953342,3.222433,1.8,-1.762284,0,61.561
2.018918,3.94691,1.8,-1.749573,0,65.576
2.093534,4.770137,1.8,-1.732405,0,74.616
2.176703,5.687376,1.8,-1.711742,0,83.169
2.259661,0.316965,1.8,-1.688364,1,82.958
2.333959,1.136493,1.801846,-0.101506,0,74.299
2.402206,1.892992,1.805162,0.116383,0,68.247
2.467636,2.623469,1.80964,0.320153,0,65.43
2.550264,3.555922,1.81503,0.5664,0,82.628
2.611405,4.250534,1.821128,0.744977,0,61.142
2.696144,5.221953,1.827768,0.982118,0,84.738
2.77767,6.164467,1.834815,1.202509,0,81.526
2.852107,0.74537,1.841444,0.234621,1,74.437
2.917364,1.506469,1.847712,0.327572,0,65.257
2.980285,2.243456,1.853666,0.414381,0,62.921
3.052859,3.095972,1.859345,0.512279,0,72.574
3.135132,4.065416,1.864781,0.620446,0,82.273
3.219623,5.064925,1.870001,0.727809,0,84.492
3.28031,5.788802,1.875028,0.799345,0,60.687
3.369591,0.568217,1.879279,0.526582,1,89.281
3.433375,1.332127,1.882893,0.537112,0,63.783
3.497955,2.106953,1.885982,0.546447,0,64.581
3.57094,2.982685,1.888639,0.556949,0,72.985
3.653766,3.976521,1.890939,0.568871,0,82.826
3.738127,4.989918,1.892946,0.579893,0,84.361
3.797542,5.707796,1.894709,0.583538,0,59.415
3.885907,0.487936,1.896279,0.597543,1,88.365
3.947334,1.23131,1.897688,0.600979,0,61.427
4.014376,2.042292,1.898964,0.605042,0,67.041
4.092209,2.982691,1.900126,0.610862,0,77.833
4.176853,4.005099,1.901195,0.617468,0,84.644
4.259137,5.000013,1.902183,0.622888,0,82.285
4.334161,5.911457,1.903112,1.299489,0,75.024
4.401784,0.4539,1.90399,1.299023,1,67.623
4.463811,1.214737,1.904823,1.29479,0,62.027
4.532089,2.052097,1.905618,1.289712,0,68.277
4.610512,3.012383,1.906378,1.284881,0,78.423
4.695264,4.049707,1.907109,1.279785,0,84.752
4.777035,5.052361,1.907811,1.272883,0,81.771
4.850913,5.961176,1.908486,1.243901,0,73.878
4.91626,0.485097,1.909136,1.231961,1,65.347
4.979355,1.265636,1.909764,1.219093,0,63.095
5.051822,2.158974,1.91037,1.207346,0,72.467
5.133529,3.163528,1.910958,1.196716,0,81.707
5.217559,4.196269,1.911529,1.186119,0,84.031
5.27547,4.915526,1.912083,1.171225,0,57.911
5.36286,5.989041,1.912622,1.16063,0,87.39
5.42435,0.464909,1.913137,0.302324,1,61.49
5.486529,1.229574,1.913633,0.290292,0,62.178
5.555825,2.077689,1.914109,0.281827,0,69.296
5.636524,3.061279,1.91457,0.276886,0,80.699
5.719942,4.076299,1.915015,0.273918,0,83.418
5.780188,4.811506,1.915446,0.269495,0,60.246
5.869809,5.904282,1.915873,1.483242,0,89.621
5.93387,0.409499,1.916295,1.47716,1,64.061
5.998176,1.203433,1.916712,1.467865,0,64.305
6.071007,2.10211,1.917122,1.457012,0,72.831
6.153563,3.119588,1.917525,1.44523,0,82.557
6.238021,4.161304,1.917922,1.431991,0,84.458
6.297427,4.902169,1.918312,1.414577,0,59.406
6.385457,5.98875,1.918702,1.391935,0,88.029
6.447115,0.474822,1.919092,1.373878,1,61.658
6.513712,1.304027,1.91948,1.355874,0,66.597
6.592276,2.277843,1.919865,1.338868,0,78.564
6.675923,3.313181,1.920245,1.322133,0,83.646
6.759074,4.342703,1.92062,1.305113,0,83.151
6.833628,5.27147,1.921538,2.012754,0,74.554
6.901332,6.120343,1.922885,2.048919,0,67.704
6.963241,0.618603,1.924571,2.076596,1,61.909
7.030861,1.471496,1.926522,2.106995,0,67.62
7.109793,2.463683,1.928675,2.145378,0,78.932
7.194475,3.528023,1.930983,2.186436,0,84.682
7.27565,4.552295,1.933405,2.221697,0,81.175
7.349569,5.48872,1.935364,1.733376,0,73.92
7.414845,0.036857,1.936945,1.696314,0,65.276
7.478406,0.847073,1.938217,1.65949,0,63.56
