t_s,event_type
0.996048,follower_flash
1.334754,follower_flash
1.893757,leader_flash
2.051735,follower_flash
2.406803,leader_flash
2.736241,follower_flash
2.902291,leader_flash
3.337286,follower_flash
3.404349,leader_flash
3.898296,leader_flash
3.957895,follower_flash
4.39317,leader_flash
4.614755,follower_flash
4.93974,leader_flash
5.362295,leader_flash
5.682002,follower_flash
5.918892,leader_flash
6.274692,follower_flash
6.413084,leader_flash
6.830799,follower_flash
6.897125,leader_flash
7.389452,leader_flash
7.389452,follower_flash
7.896156,leader_flash
7.896156,follower_flash
8.382143,leader_flash
8.440785,follower_flash
8.924458,leader_flash
8.924458,follower_flash
9.414296,leader_flash
9.489941,follower_flash
9.896634,leader_flash
9.973514,follower_flash
10.402405,leader_flash
10.460354,follower_flash
10.889169,leader_flash
10.947768,follower_flash
11.427881,leader_flash
11.427881,follower_flash
11.912355,leader_flash
11.988121,follower_flash
12.391492,leader_flash
12.468803,follower_flash
12.894215,leader_flash
12.952356,follower_flash
13.433932,leader_flash
13.433932,follower_flash
13.918595,leader_flash
13.918595,follower_flash
14.401348,leader_flash
14.401348,follower_flash
14.896696,leader_flash
14.896696,follower_flash
15.379715,follower_flash
15.438282,leader_flash
15.916923,leader_flash
15.916923,follower_flash
16.399912,leader_flash
16.399912,follower_flash
16.899975,leader_flash
16.899975,follower_flash
17.395026,leader_flash
17.395026,follower_flash
17.880792,follower_flash
17.939593,leader_flash
18.356169,follower_flash
18.42081,leader_flash
18.839873,follower_flash
18.903452,leader_flash
19.332064,follower_flash
19.397633,leader_flash
19.878478,follower_flash
19.937006,leader_flash
20.359297,follower_flash
20.422216,leader_flash
20.846849,follower_flash
20.910657,leader_flash
21.337567,follower_flash
21.402698,leader_flash
21.846516,follower_flash
21.910474,leader_flash
22.33692,follower_flash
22.401534,leader_flash
22.820867,follower_flash
22.887194,leader_flash
23.353579,follower_flash
23.416982,leader_flash
23.829551,follower_flash
23.895141,leader_flash
24.325203,follower_flash
24.389944,leader_flash
24.790384,follower_flash
24.920715,leader_flash
25.334888,follower_flash
25.398426,leader_flash
25.825562,follower_flash
25.891025,leader_flash
26.291488,follower_flash
26.421626,leader_flash
26.833087,follower_flash
26.895396,leader_flash
27.308794,follower_flash
27.431465,leader_flash
27.830185,follower_flash
27.892925,leader_flash
28.30672,follower_flash
28.42916,leader_flash
28.830938,follower_flash
28.893889,leader_flash
29.307499,follower_flash
29.429603,leader_flash
29.830432,follower_flash
29.894582,leader_flash
